"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Cristian Pavón","LAG","2020","W","2048","3.34","0.10","-0.10","-0.02","-0.14","0.34","3.52"
"","Jordan Morris","SEA","2020","W","1766","1.13","-0.19","-0.21","0.11","2.18","0.15","3.16"
"","Diego Rossi","LAFC","2020","W","1851","-0.52","0.03","0.17","0.15","2.01","1.12","2.95"
"","Anton Tinnerholm","NYC","2020","FB","2210","0.46","0.15","0.64","1.15","0.20","0.25","2.85"
"","Darwin Quintero","HOU","2020","W","1822","0.27","-0.20","-0.21","2.15","-0.23","0.67","2.44"
"","Romell Quioto","MTL","2020","ST","1603","0.64","0.29","0.27","-0.28","1.09","0.09","2.09"
"","Mark McKenzie","PHI","2020","CB","2190","0.19","0.22","1.30","-0.03","0.31","0.03","2.02"
"","Alberth Elis","HOU","2020","W","413","0.35","0.18","0.11","0.04","0.95","0.29","1.92"
"","Álvaro Medrán","CHI","2020","DM","2157","0.10","0.08","0.33","1.24","0.01","0.08","1.83"
"","Adam Buksa","NER","2020","ST","1643","0.28","0.03","-0.17","0.31","0.79","0.56","1.80"
"","Chris Mueller","ORL","2020","W","1575","0.03","-0.14","-0.04","-0.18","1.85","0.29","1.80"
"","Rodolfo Pizarro","MIA","2020","AM","1761","-0.03","0.10","-0.16","0.20","0.87","0.80","1.78"
"","Ronald Matarrita","NYC","2020","FB","1809","-0.17","-0.10","1.28","0.80","0.01","-0.04","1.77"
"","Valentín Castellanos","NYC","2020","ST","1493","-0.97","-0.17","0.36","-0.33","2.06","0.79","1.75"
"","Michael Barrios","FCD","2020","W","1819","0.80","0.29","0.10","0.07","0.38","0.05","1.68"
"","Alejandro Bedoya","PHI","2020","CM","1998","0.01","-0.29","0.02","1.27","0.48","0.16","1.64"
"","Diego Chara","POR","2020","DM","1971","0.47","-0.24","0.71","1.01","-0.39","0.04","1.60"
"","Matt Besler","SKC","2020","CB","900","0.43","0.10","0.58","0.67","-0.19","0.00","1.58"
"","Kevin Molino","MIN","2020","W","1364","0.15","0.08","0.41","-0.60","0.51","1.02","1.57"
"","Maynor Figueroa","HOU","2020","CB","1879","0.41","-0.27","0.30","0.61","0.48","-0.06","1.48"
"","Ayo Akinola","TOR","2020","ST","1147","0.38","0.12","-0.36","-0.16","1.27","0.22","1.46"
"","Fabian Herbers","CHI","2020","AM","1459","-0.07","0.15","0.82","-0.56","1.01","0.09","1.45"
"","João Paulo","SEA","2020","DM","1521","0.50","0.13","0.37","0.64","-0.18","-0.06","1.39"
"","Shea Salinas","SJE","2020","W","900","0.47","0.25","0.23","0.20","0.06","0.12","1.34"
"","Sergio Santos","PHI","2020","ST","1304","0.16","0.10","0.67","0.01","0.26","0.12","1.32"
"","Djordje Mihailovic","CHI","2020","W","1279","-0.10","0.26","0.49","0.21","0.10","0.26","1.23"
"","Lewis Morgan","MIA","2020","W","2105","1.25","-0.00","0.30","0.55","-0.64","-0.23","1.23"
"","Lalas Abubakar","COL","2020","CB","1658","0.06","0.10","1.26","0.04","-0.23","-0.01","1.23"
"","Ruan","ORL","2020","FB","1781","0.66","-0.13","0.22","-0.33","0.48","0.30","1.20"
"","Brian Rodríguez","LAFC","2020","W","1562","0.68","0.12","-0.11","-0.19","0.44","0.21","1.15"
"","DeJuan Jones","NER","2020","FB","1242","0.38","0.10","0.32","0.39","-0.07","0.02","1.14"
"","Donovan Pines","DCU","2020","CB","1501","-0.69","0.38","0.74","-0.11","0.61","0.20","1.14"
"","Adam Lundkvist","HOU","2020","FB","1975","-0.09","0.09","1.27","0.01","-0.10","-0.06","1.13"
"","Haris Medunjanin","CIN","2020","DM","1906","-0.21","-0.07","-0.23","1.37","-0.39","0.64","1.11"
"","Fredy Montero","VAN","2020","ST","1158","0.35","0.12","0.14","1.00","-0.56","0.05","1.10"
"","Keaton Parks","NYC","2020","DM","1884","0.39","0.06","-0.95","0.22","0.86","0.50","1.08"
"","Bradley Wright-Phillips","LAFC","2020","ST","1155","-0.51","0.09","-0.05","-0.11","0.92","0.73","1.07"
"","Mark-Anthony Kaye","LAFC","2020","CM","1173","0.29","0.03","0.07","0.26","0.30","0.11","1.06"
"","Tom Barlow","NYRB","2020","ST","1069","-0.13","-0.11","-0.05","-0.08","0.68","0.74","1.05"
"","Lucas Cavallini","VAN","2020","ST","1584","-1.51","0.24","-0.16","-0.22","2.37","0.32","1.04"
"","Matt Hedges","FCD","2020","CB","1695","0.07","-0.20","0.28","0.80","-0.02","0.12","1.04"
"","José Aja","MIN","2020","CB","1171","-0.16","0.03","0.90","-0.18","0.37","0.07","1.03"
"","Eduard Atuesta","LAFC","2020","DM","1472","0.03","-0.00","-0.03","0.89","0.13","-0.00","1.02"
"","Handwalla Bwana","SEA, NSH","2020","W","259","-0.03","-0.04","0.05","-0.16","1.00","0.19","1.01"
"","Steven Birnbaum","DCU","2020","CB","1012","0.01","0.34","0.17","0.23","0.22","0.02","1.00"
"","Leandro González Pirez","MIA","2020","CB","1580","0.03","0.12","0.20","0.29","0.46","-0.11","1.00"
"","Kelvin Leerdam","SEA","2020","FB","1586","-0.04","0.12","-0.40","-0.16","1.32","0.11","0.95"
"","Eryk Williamson","POR","2020","DM","1538","0.40","0.19","-0.03","0.17","0.17","0.04","0.95"
"","Felipe Mora","POR","2020","ST","1312","-0.08","0.24","-0.05","-0.57","1.30","0.10","0.95"
"","Robin Lod","MIN","2020","W","1720","0.95","-0.23","0.17","-0.08","-0.14","0.26","0.94"
"","Michael Boxall","MIN","2020","CB","1868","0.38","-0.21","1.01","-0.45","0.03","0.18","0.93"
"","Memo Rodríguez","HOU","2020","CM","1710","0.13","0.53","-0.38","-0.26","0.25","0.66","0.93"
"","Daniel Steres","LAG","2020","CB","1852","0.08","0.15","0.51","-0.01","0.11","0.10","0.93"
"","Johnny Russell","SKC","2020","W","1656","0.89","0.01","-0.27","-0.14","0.60","-0.18","0.91"
"","Ricardo Pepi","FCD","2020","ST","557","-0.16","-0.06","-0.14","-0.04","0.90","0.41","0.90"
"","Josh Williams","CLB","2020","CB","1119","0.18","0.09","0.43","0.15","0.05","0.00","0.90"
"","Romain Métanire","MIN","2020","FB","1946","0.03","0.46","0.20","0.39","-0.13","-0.08","0.86"
"","Gyasi Zardes","CLB","2020","ST","1849","-0.21","-0.23","-0.19","-0.40","1.53","0.35","0.86"
"","Erik Godoy","VAN","2020","CB","1025","0.18","0.01","0.65","0.25","-0.18","-0.07","0.85"
"","Mohamed El-Munir","LAFC","2020","FB","694","0.45","0.03","-0.06","0.45","0.00","-0.03","0.84"
"","Gerso","SKC","2020","W","925","0.73","-0.03","-0.13","-0.50","0.70","0.06","0.83"
"","Cory Burke","PHI","2020","ST","141","0.06","-0.02","0.03","0.02","0.62","0.12","0.83"
"","Niko Hansen","HOU","2020","W","799","0.84","0.26","0.09","-0.16","0.06","-0.27","0.82"
"","Diego Valeri","POR","2020","AM","1763","-0.39","-0.02","0.04","1.27","-0.35","0.26","0.82"
"","Luis Díaz","CLB","2020","W","1291","0.71","0.61","0.12","-0.24","-0.33","-0.06","0.81"
"","Luis Binks","MTL","2020","CB","1942","0.39","0.04","0.29","0.15","-0.05","-0.01","0.81"
"","Gary Mackay-Steven","NYC","2020","W","1075","0.18","-0.09","-0.02","-0.23","0.65","0.28","0.79"
"","Daniel Royer","NYRB","2020","ST","1445","-0.32","-0.14","0.14","0.43","0.46","0.21","0.79"
"","Bressan","FCD","2020","CB","1298","0.07","0.12","0.41","0.28","-0.25","0.14","0.78"
"","Jan Gregus","MIN","2020","DM","1745","0.31","0.01","0.34","0.17","-0.27","0.17","0.73"
"","Jack Elliott","PHI","2020","CB","1107","-0.41","0.06","0.81","0.14","0.17","-0.03","0.73"
"","Danny Wilson","COL","2020","CB","804","0.09","0.00","0.43","0.33","-0.14","-0.00","0.71"
"","Walker Zimmerman","NSH","2020","CB","2110","0.19","0.12","-0.02","-0.15","0.39","0.18","0.71"
"","Bakaye Dibassy","MIN","2020","CB","938","-0.07","0.07","0.78","-0.27","0.14","0.04","0.70"
"","Kellyn Acosta","COL","2020","DM","1246","0.46","0.03","-0.17","-0.40","0.64","0.14","0.70"
"","Oswaldo Alanís","SJE","2020","CB","1287","0.38","0.12","0.12","0.31","-0.10","-0.13","0.69"
"","Nicolás Lodeiro","SEA","2020","AM","1854","-0.52","0.64","-0.10","0.29","0.09","0.30","0.69"
"","Henry Kessler","NER","2020","CB","1997","0.03","0.24","0.81","-0.06","-0.17","-0.16","0.69"
"","Fernando Meza","ATL","2020","CB","1178","0.22","0.03","0.56","0.12","-0.22","-0.04","0.66"
"","Maxime Chanot","NYC","2020","CB","1887","-0.13","-0.11","-0.08","0.48","0.51","-0.01","0.66"
"","Maximiliano Moralez","NYC","2020","AM","956","0.22","0.18","-0.22","0.24","0.08","0.15","0.65"
"","Kacper Przybylko","PHI","2020","ST","2160","0.21","-0.45","0.20","0.39","0.15","0.15","0.65"
"","Jonathan Osorio","TOR","2020","DM","1533","-0.49","0.06","0.04","0.30","0.48","0.23","0.63"
"","Albert Rusnák","RSL","2020","AM","1388","0.25","-0.06","0.02","0.47","-0.52","0.47","0.63"
"","Richie Laryea","TOR","2020","FB","1498","0.64","0.41","-0.17","-0.16","0.05","-0.15","0.61"
"","Cristian Espinoza","SJE","2020","W","1907","0.86","-0.07","0.51","0.15","-0.47","-0.37","0.61"
"","Gadi Kinda","SKC","2020","CM","1486","-0.04","0.02","-0.20","-0.33","0.78","0.38","0.61"
"","Emanuel Reynoso","MIN","2020","AM","897","0.64","-0.03","0.02","0.49","-0.20","-0.31","0.60"
"","Aaron Herrera","RSL","2020","FB","1944","0.37","-0.27","0.52","-0.15","0.01","0.09","0.58"
"","Justen Glad","RSL","2020","CB","1391","0.22","0.27","0.14","-0.11","-0.02","0.09","0.58"
"","Alexandru Mitrita","NYC","2020","W","775","0.59","0.07","-0.24","0.03","-0.15","0.27","0.58"
"","Winston Reid","SKC","2020","CB","795","0.15","0.05","0.29","-0.23","0.23","0.07","0.57"
"","Justin Rennicks","NER","2020","W","53","0.07","-0.01","-0.01","0.07","0.34","0.11","0.57"
"","Kyle Smith","ORL","2020","FB","1161","-0.18","-0.02","0.57","0.19","-0.18","0.19","0.56"
"","Michael Bradley","TOR","2020","CM","1157","0.10","0.08","0.61","-0.01","-0.21","-0.02","0.56"
"","Ilsinho","PHI","2020","ST","760","0.34","-0.06","0.18","0.25","0.05","-0.21","0.55"
"","Tommy McNamara","HOU, NER","2020","DM","1133","0.00","0.03","0.18","-0.08","0.17","0.23","0.54"
"","Ali Adnan","VAN","2020","FB","1953","-0.16","0.17","0.34","0.64","-0.35","-0.11","0.53"
"","Nicolás Figal","MIA","2020","CB","1929","-0.03","-0.10","0.40","-0.05","0.35","-0.05","0.53"
"","Dax McCarty","NSH","2020","DM","1809","0.02","-0.05","0.65","0.12","-0.12","-0.10","0.52"
"","Dario Zuparic","POR","2020","CB","1772","0.10","-0.07","0.46","-0.18","-0.00","0.21","0.52"
"","Tristan Blackmon","LAFC","2020","FB","1078","0.06","0.03","-0.22","0.33","0.09","0.21","0.51"
"","José Cifuentes","LAFC","2020","CM","1239","0.19","0.05","-0.19","0.28","0.18","0.01","0.51"
"","Joevin Jones","SEA","2020","FB","896","0.37","-0.07","-0.07","-0.09","0.14","0.23","0.51"
"","Osvaldo Alonso","MIN","2020","DM","819","0.11","-0.01","0.43","0.14","-0.12","-0.04","0.51"
"","Justin Morrow","TOR","2020","FB","1053","0.08","0.30","-0.05","-0.17","0.13","0.20","0.49"
"","Patrick Seagrist","NYRB","2020","FB","263","-0.03","-0.04","0.56","0.05","-0.04","-0.00","0.49"
"","Jozy Altidore","TOR","2020","ST","804","-0.68","0.64","-0.23","-0.20","0.65","0.30","0.48"
"","Jeremy Ebobisse","POR","2020","W","1163","-0.45","-0.06","0.15","0.02","0.78","0.03","0.48"
"","Jürgen Damm","ATL","2020","W","700","0.64","0.14","-0.08","0.16","-0.22","-0.16","0.47"
"","Kamal Miller","ORL","2020","FB","901","-0.01","0.02","0.40","0.28","-0.18","-0.03","0.47"
"","Jon Gallagher","ATL","2020","W","1055","0.68","0.68","0.00","-0.47","-0.22","-0.20","0.46"
"","Alan Pulido","SKC","2020","ST","1045","0.87","0.04","-0.08","-0.44","-0.65","0.72","0.46"
"","Eddie Segura","LAFC","2020","CB","2068","0.51","-0.11","-0.26","0.61","-0.02","-0.28","0.46"
"","Emiliano Insúa","LAG","2020","FB","1942","-0.07","0.10","0.48","0.03","-0.05","-0.04","0.44"
"","Sebastián Blanco","POR","2020","W","722","0.32","-0.09","0.17","0.09","-0.04","-0.02","0.43"
"","Maikel van der Werff","CIN","2020","CB","1073","0.27","0.03","-0.14","-0.01","0.17","0.12","0.43"
"","Miles Robinson","ATL","2020","CB","1534","0.20","0.15","-0.16","0.05","0.13","0.04","0.43"
"","Sacha Kljestan","LAG","2020","CM","846","-0.07","-0.05","0.36","0.15","-0.06","0.10","0.42"
"","Jacori Hayes","MIN","2020","DM","657","0.16","0.02","0.14","-0.10","0.21","-0.01","0.41"
"","Nedum Onuoha","RSL","2020","CB","1415","-0.12","0.15","0.10","-0.03","0.15","0.15","0.41"
"","Jared Stroud","NYRB","2020","W","1033","0.12","0.25","0.44","0.24","-0.33","-0.32","0.41"
"","Latif Blessing","LAFC","2020","CM","1878","0.05","-0.18","0.07","-0.07","0.25","0.29","0.41"
"","Tommy Thompson","SJE","2020","FB","1211","-0.11","0.66","-0.10","-0.66","0.37","0.24","0.41"
"","José Bizama","HOU","2020","FB","635","0.03","0.01","0.22","-0.08","0.03","0.20","0.40"
"","Marcos López","SJE","2020","FB","1064","0.11","0.13","0.62","-0.30","-0.05","-0.11","0.40"
"","Kyle Duncan","NYRB","2020","FB","2084","0.11","0.07","0.63","-0.28","-0.12","-0.03","0.39"
"","Raymon Gaddis","PHI","2020","FB","1402","-0.06","0.31","0.14","0.09","-0.13","0.04","0.39"
"","Jorge Moreira","POR","2020","FB","92","0.24","0.01","-0.07","0.09","0.03","0.08","0.38"
"","Wyatt Omsberg","CHI","2020","CB","218","0.04","0.02","0.35","0.02","-0.05","-0.00","0.38"
"","Daniel Ríos","NSH","2020","ST","790","-0.69","-0.11","-0.12","-0.23","1.28","0.25","0.38"
"","Ryan Hollingshead","FCD","2020","FB","1907","0.37","-0.24","0.41","-0.90","0.91","-0.18","0.37"
"","Dairon Asprilla","POR","2020","W","67","0.07","-0.02","0.05","-0.04","0.25","0.05","0.37"
"","Román Torres","MIA, SEA","2020","CB","416","0.02","0.04","0.31","-0.18","0.14","0.04","0.37"
"","Chris Odoi-Atsem","DCU","2020","FB","868","0.12","0.02","0.28","-0.18","0.03","0.08","0.36"
"","Diego Fagundez","NER","2020","DM","1076","-0.17","-0.08","0.11","-0.07","0.17","0.40","0.36"
"","Nicolas Benezet","COL","2020","W","551","-0.13","-0.03","0.32","0.27","-0.10","0.01","0.35"
"","Andreu Fontàs","SKC","2020","CB","292","0.09","0.03","0.11","0.14","-0.07","0.04","0.35"
"","Daniel Lovitz","NSH","2020","FB","2041","0.28","0.05","0.31","-0.08","-0.23","0.01","0.35"
"","Valeri Qazaishvili","SJE","2020","W","866","0.27","-0.07","-0.01","-0.36","0.06","0.44","0.34"
"","Ben Sweat","MIA","2020","FB","1830","-0.07","-0.16","0.51","-0.26","0.15","0.17","0.34"
"","Raheem Edwards","MIN","2020","W","329","-0.60","0.02","0.35","0.19","0.14","0.23","0.33"
"","Lee Nguyen","MIA, NER","2020","AM","917","-0.03","0.19","0.04","0.43","-0.41","0.11","0.33"
"","Rolf Feltscher","LAG","2020","FB","1276","-0.23","-0.20","0.45","-0.08","0.32","0.07","0.33"
"","David Accam","NSH","2020","W","239","0.21","-0.04","-0.09","-0.09","-0.01","0.36","0.33"
"","Ethan Finlay","MIN","2020","W","1035","0.16","-0.16","-0.18","0.03","0.12","0.35","0.33"
"","Maximiliano Urruti","MTL","2020","ST","963","-0.01","-0.08","0.16","-0.62","0.58","0.30","0.33"
"","Kekuta Manneh","NER, CIN","2020","W","288","0.11","-0.01","0.03","0.14","0.02","0.02","0.33"
"","Danny Musovski","LAFC","2020","ST","724","0.07","-0.10","0.12","-0.34","0.41","0.17","0.32"
"","Carles Gil","NER","2020","AM","405","0.40","-0.01","-0.08","0.23","-0.21","-0.01","0.32"
"","Judson","SJE","2020","DM","1814","0.10","-0.07","0.71","0.01","-0.44","-0.01","0.30"
"","Elliot Collier","CHI","2020","W","655","0.50","-0.03","-0.06","-0.31","0.11","0.09","0.30"
"","Kai Koreniuk","LAG","2020","W","33","0.07","-0.00","-0.02","-0.01","0.21","0.05","0.30"
"","Rod Fanni","MTL","2020","CB","1055","0.05","0.09","0.49","-0.10","-0.21","-0.01","0.30"
"","Tony Rocha","NYC","2020","W","114","0.14","-0.02","0.04","0.04","0.06","0.03","0.29"
"","Przemyslaw Frankowski","CHI","2020","W","1593","-1.27","-0.11","-0.02","-0.36","1.53","0.52","0.28"
"","Waylon Francis","CLB","2020","FB","226","-0.03","-0.01","0.31","0.05","-0.05","-0.00","0.28"
"","Mandela Egbo","NYRB","2020","FB","486","-0.02","0.02","0.20","0.16","-0.08","0.00","0.28"
"","Franco Jara","FCD","2020","ST","1491","0.17","-0.21","-0.22","-0.55","0.85","0.23","0.28"
"","Jukka Raitala","MTL","2020","FB","1475","0.00","0.07","-0.06","0.37","-0.10","-0.01","0.28"
"","Diego Palacios","LAFC","2020","FB","1321","-0.02","0.15","0.22","-0.26","0.18","0.01","0.27"
"","Ilie Sánchez","SKC","2020","DM","1390","0.03","0.05","-0.11","-0.01","0.33","-0.01","0.27"
"","Younes Namli","COL","2020","W","1350","1.41","-0.08","-0.15","0.17","-0.83","-0.25","0.26"
"","Tomás Martínez","HOU","2020","CM","400","-0.03","-0.04","0.13","-0.12","0.26","0.07","0.26"
"","Ethan Zubak","LAG","2020","ST","853","-0.15","-0.12","0.05","-0.01","0.41","0.08","0.26"
"","Diedie Traore","LAG","2020","FB","104","-0.01","0.30","-0.06","-0.01","0.02","-0.00","0.25"
"","Paxton Pomykal","FCD","2020","W","180","0.32","0.03","-0.02","0.06","-0.08","-0.06","0.25"
"","Milton Valenzuela","CLB","2020","FB","1578","0.23","-0.21","0.09","0.25","-0.00","-0.11","0.25"
"","Efrain Álvarez","LAG","2020","W","744","0.27","0.23","-0.16","-0.02","-0.30","0.24","0.25"
"","Julian Araujo","LAG","2020","FB","1315","-0.35","-0.15","1.13","-0.31","-0.05","-0.02","0.24"
"","Erik Hurtado","SKC","2020","ST","450","0.38","-0.03","0.00","-0.01","-0.12","0.02","0.24"
"","Alejandro Romero Gamarra","NYRB","2020","AM","1161","-0.32","-0.08","0.30","0.46","-0.10","-0.03","0.23"
"","Shane O'Neill","SEA","2020","CB","1348","0.25","0.09","0.11","-0.03","-0.16","-0.04","0.23"
"","Carlos Vela","LAFC","2020","W","479","-0.21","0.05","-0.17","-0.02","0.21","0.36","0.23"
"","Tajon Buchanan","NER","2020","W","1229","-0.40","0.12","0.06","-0.61","1.04","0.01","0.22"
"","Alex De John","ORL","2020","FB","99","0.03","0.01","0.12","0.06","-0.01","-0.00","0.21"
"","Paul Arriola","DCU","2020","FB","30","0.25","-0.00","-0.02","-0.03","0.03","-0.02","0.21"
"","Saphir Taïder","MTL","2020","CM","1054","-0.21","-0.05","-0.06","0.65","-0.08","-0.03","0.21"
"","Guram Kashia","SJE","2020","CB","544","0.05","-0.21","0.30","0.17","-0.09","-0.02","0.20"
"","João Moutinho","ORL","2020","FB","746","0.17","-0.00","-0.04","0.23","-0.03","-0.13","0.20"
"","Drew Moor","COL","2020","CB","532","0.06","0.05","-0.17","0.09","0.09","0.07","0.19"
"","Johan Kappelhof","CHI","2020","CB","228","0.02","0.03","0.27","-0.07","-0.04","-0.01","0.19"
"","Kelyn Rowe","NER","2020","DM","980","-0.02","-0.01","0.04","-0.18","0.27","0.09","0.19"
"","Julian Gressel","DCU","2020","W","1842","-0.22","-0.36","1.07","0.02","-0.34","0.02","0.18"
"","Siad Haji","SJE","2020","W","69","0.09","0.00","-0.00","-0.04","0.15","-0.02","0.18"
"","Aaron Schoenfeld","MIN","2020","ST","472","-0.08","0.00","-0.09","-0.06","0.31","0.09","0.18"
"","Jeizon Ramírez","RSL","2020","W","140","0.11","-0.01","0.08","0.02","-0.11","0.07","0.17"
"","Kwadwo Opoku","LAFC","2020","W","70","-0.04","0.25","-0.01","-0.04","0.01","0.01","0.17"
"","Amar Sejdic","MTL","2020","CM","767","-0.28","-0.02","0.21","-0.16","0.21","0.21","0.17"
"","Aleksandar Katai","LAG","2020","W","120","-0.10","-0.02","0.02","0.01","0.22","0.02","0.16"
"","Seth Sinovic","NER","2020","FB","20","-0.01","0.00","0.16","0.00","0.00","-0.00","0.16"
"","Andy Rose","VAN","2020","CB","941","0.11","0.05","-0.09","0.10","-0.08","0.06","0.16"
"","Dániel Sallói","SKC","2020","W","199","-0.13","-0.02","0.07","-0.15","0.12","0.26","0.16"
"","Emmanuel Boateng","CLB","2020","W","377","-0.23","-0.09","0.25","0.25","0.00","-0.02","0.16"
"","Jonathan Lewis","COL","2020","W","796","0.77","-0.01","-0.12","-0.14","-0.36","0.01","0.15"
"","Christian Torres","LAFC","2020","W","253","0.04","-0.03","-0.02","0.28","-0.11","-0.01","0.15"
"","Paul Marie","SJE","2020","FB","408","0.05","0.27","-0.11","-0.27","0.08","0.12","0.15"
"","Keegan Rosenberry","COL","2020","FB","1493","0.09","0.04","0.44","-0.12","-0.23","-0.07","0.15"
"","Matt Polster","NER","2020","DM","841","-0.14","0.21","-0.17","0.37","-0.04","-0.08","0.15"
"","Carlos Fierro","SJE","2020","W","1050","-0.44","-0.01","-0.34","-0.04","0.56","0.40","0.14"
"","Ariel Lassiter","HOU","2020","W","1027","-0.19","-0.04","-0.32","-0.53","0.91","0.31","0.14"
"","Nick Hagglund","CIN","2020","CB","822","0.03","0.05","-0.46","0.31","0.31","-0.10","0.13"
"","Federico Higuaín","DCU, MIA","2020","AM","267","0.06","-0.04","-0.03","-0.06","0.10","0.10","0.12"
"","Bryan Reynolds","FCD","2020","FB","1399","0.05","-0.05","-0.12","0.26","0.02","-0.04","0.12"
"","Michael Mancienne","NER","2020","CB","349","-0.14","0.07","0.30","-0.02","-0.06","-0.03","0.12"
