"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Brooks Lennon","ATL","2020","FB","1941","-0.35","-0.01","0.60","-0.57","0.03","-0.00","-0.29"
"","Felipe","DCU","2020","CM","712","-0.18","-0.02","0.04","-0.10","-0.10","0.07","-0.30"
"","Wil Trapp","MIA","2020","DM","1488","-0.08","-0.05","0.10","0.19","-0.38","-0.07","-0.30"
"","Marcelino Moreno","ATL","2020","AM","498","-0.25","-0.01","0.15","0.02","-0.20","-0.01","-0.30"
"","Kamohelo Mokotjo","CIN","2020","DM","595","-0.10","0.08","0.29","-0.49","-0.05","-0.03","-0.30"
"","Patrick Metcalfe","VAN","2020","CM","239","-0.10","0.00","-0.03","-0.12","-0.04","-0.02","-0.30"
"","Thomás Chacón","MIN","2020","W","191","-0.11","-0.05","-0.01","0.05","-0.14","-0.04","-0.30"
"","Bojan Krkić","MTL","2020","ST","1256","0.20","0.10","0.53","0.24","-1.07","-0.29","-0.30"
"","Abu Danladi","NSH","2020","ST","644","0.01","-0.10","-0.04","-0.18","0.14","-0.13","-0.30"
"","Collen Warner","COL","2020","DM","297","-0.06","-0.05","0.01","-0.12","-0.04","-0.04","-0.31"
"","Chris Mavinga","TOR","2020","CB","1650","0.12","-0.08","0.03","-0.06","-0.25","-0.06","-0.31"
"","Graham Zusi","SKC","2020","FB","1356","-0.30","0.29","-0.54","0.40","-0.04","-0.13","-0.31"
"","Darwin Cerén","HOU","2020","CM","1661","-0.41","-0.01","0.98","-0.59","-0.17","-0.11","-0.31"
"","Andrés Flores","POR","2020","W","207","0.08","-0.01","0.01","-0.18","-0.15","-0.05","-0.31"
"","Daryl Dike","ORL","2020","ST","1321","-0.18","0.19","0.25","-0.08","-0.31","-0.18","-0.32"
"","Gudmundur Thórarinsson","NYC","2020","FB","802","0.02","0.02","-0.11","-0.11","-0.10","-0.05","-0.32"
"","Ranko Veselinovic","VAN","2020","CB","1534","0.16","0.15","0.05","-0.50","-0.10","-0.08","-0.32"
"","Luis Felipe","SJE","2020","CM","220","0.00","-0.01","-0.19","-0.04","-0.09","-0.01","-0.33"
"","Eric Miller","NSH","2020","FB","472","-0.11","0.03","-0.15","-0.25","0.22","-0.08","-0.33"
"","Brent Kallman","MIN","2020","CB","299","-0.04","0.04","-0.23","-0.08","-0.02","0.00","-0.33"
"","Jesús David Murillo","LAFC","2020","CB","450","-0.05","0.02","-0.42","0.22","-0.07","-0.05","-0.34"
"","Josef Martínez","ATL","2020","ST","71","0.03","-0.01","-0.21","-0.06","-0.14","0.05","-0.35"
"","Will Bruin","SEA","2020","ST","567","-0.44","-0.04","-0.14","-0.34","0.77","-0.17","-0.35"
"","Adrien Regattin","CIN","2020","ST","685","0.58","0.03","-0.01","-0.07","-0.72","-0.16","-0.35"
"","Gonzalo Higuaín","MIA","2020","ST","861","-0.13","-0.01","-0.13","0.07","-0.33","0.17","-0.36"
"","Mauricio Pereyra","ORL","2020","AM","1174","-0.03","-0.10","0.02","0.78","-0.74","-0.28","-0.36"
"","Andrew Farrell","NER","2020","CB","1865","-0.35","0.13","-0.22","0.53","-0.42","-0.01","-0.36"
"","Shamit Shome","MTL","2020","FB","340","-0.05","0.00","-0.02","-0.18","-0.09","-0.02","-0.36"
"","Amro Tarek","NYRB","2020","CB","1041","-0.10","-0.13","0.07","-0.07","-0.12","-0.01","-0.36"
"","Tomás Conechny","POR","2020","W","217","-0.11","0.09","-0.01","-0.17","-0.04","-0.14","-0.37"
"","Jeremy Kelly","COL","2020","FB","281","0.27","0.00","-0.23","-0.35","0.00","-0.07","-0.37"
"","Rashawn Dally","CIN","2020","W","86","-0.01","-0.01","-0.31","-0.00","-0.05","0.00","-0.38"
"","Andrés Ricaurte","FCD","2020","AM","1187","0.23","-0.01","0.03","-0.18","-0.37","-0.08","-0.38"
"","David Milinkovic","VAN","2020","W","974","0.07","-0.14","0.27","-0.21","-0.37","-0.00","-0.39"
"","Orji Okwonkwo","MTL","2020","W","568","0.13","0.01","-0.06","-0.34","-0.07","-0.06","-0.39"
"","Warren Creavalle","PHI","2020","DM","442","-0.27","-0.02","0.24","-0.22","-0.12","-0.00","-0.39"
"","Tony Gallacher","TOR","2020","FB","517","0.01","0.04","-0.15","-0.20","-0.09","0.01","-0.39"
"","Adrien Pérez","LAFC","2020","W","352","-0.20","0.01","-0.04","-0.34","0.18","0.01","-0.39"
"","José Andrés Martínez","PHI","2020","DM","1242","-0.17","-0.15","0.51","-0.34","-0.20","-0.04","-0.39"
"","Gelmin Rivas","DCU","2020","ST","557","-0.03","-0.10","-0.08","-0.14","-0.08","0.04","-0.39"
"","Emil Cuello","LAG","2020","W","291","-0.13","-0.04","-0.05","0.02","-0.15","-0.05","-0.40"
"","Scott Caldwell","NER","2020","DM","1249","-0.06","0.06","-0.20","0.04","-0.27","0.03","-0.40"
"","Nicolás Mezquida","COL","2020","AM","577","-0.09","-0.01","-0.11","-0.41","0.11","0.11","-0.40"
"","Kevin Paredes","DCU","2020","FB","1048","-0.55","0.04","0.29","-0.37","0.20","-0.02","-0.41"
"","Nico Lemoine","HOU","2020","W","228","0.01","0.01","-0.13","-0.15","-0.11","-0.03","-0.41"
"","Alexander Büttner","NER","2020","FB","1348","-0.34","-0.16","0.25","0.11","-0.13","-0.13","-0.41"
"","Kai Wagner","PHI","2020","FB","1296","-0.07","0.09","-0.06","-0.18","-0.14","-0.05","-0.42"
"","Jasser Khmiri","VAN","2020","CB","429","0.09","-0.37","0.07","-0.01","-0.09","-0.11","-0.42"
"","Sebastian Lletget","LAG","2020","AM","1694","-0.32","-0.05","0.18","-1.00","0.29","0.48","-0.42"
"","Florian Valot","NYRB","2020","W","1637","-0.31","0.04","0.07","-0.26","-0.21","0.25","-0.42"
"","Oniel Fisher","DCU","2020","FB","764","-0.13","0.01","0.09","-0.27","-0.12","-0.02","-0.43"
"","Benji Michel","ORL","2020","W","974","0.21","-0.06","-0.09","-0.24","-0.08","-0.18","-0.43"
"","Fafa Picault","FCD","2020","W","1127","0.08","-0.13","-0.28","-0.22","0.46","-0.35","-0.43"
"","Joel Waterman","MTL","2020","CB","604","0.08","0.03","-0.35","-0.03","-0.10","-0.06","-0.43"
"","Francisco Ginella","LAFC","2020","CM","1277","-0.36","-0.02","-0.07","0.11","-0.05","-0.06","-0.44"
"","Maikel Chang","RSL","2020","W","1193","-0.27","-0.09","-0.04","0.20","-0.28","0.04","-0.44"
"","Jamiro Monteiro","PHI","2020","CM","2128","-0.46","0.09","-0.42","0.07","0.39","-0.12","-0.44"
"","Victor Wanyama","MTL","2020","DM","2079","-0.10","-0.00","0.55","-0.66","-0.18","-0.06","-0.45"
"","Gastón Giménez","CHI","2020","DM","1718","0.00","-0.07","0.34","-0.51","-0.13","-0.08","-0.45"
"","Kyle Beckerman","RSL","2020","DM","437","-0.05","0.00","-0.16","-0.28","0.02","0.02","-0.45"
"","Larrys Mabiala","POR","2020","CB","1454","-0.28","0.14","-0.15","-0.27","0.04","0.07","-0.47"
"","Tah Brian Anunga","NSH","2020","CM","850","-0.17","-0.08","0.58","-0.49","-0.24","-0.07","-0.48"
"","Alan Winn","NSH","2020","W","280","-0.28","0.02","0.02","-0.16","-0.00","-0.07","-0.48"
"","Zachary Brault-Guillard","MTL","2020","FB","1958","0.84","-0.21","-0.25","-1.07","0.18","0.02","-0.49"
"","Pablo Piatti","TOR","2020","W","1410","-0.06","-0.06","-0.23","-0.39","0.17","0.08","-0.50"
"","Samuel Tetteh","NYRB","2020","ST","376","-0.31","-0.06","0.10","-0.21","-0.09","0.07","-0.50"
"","Jaroslaw Niezgoda","POR","2020","ST","692","0.30","-0.09","-0.06","-0.23","-0.12","-0.31","-0.50"
"","Tate Schmitt","RSL","2020","DM","274","-0.28","0.01","-0.07","-0.16","0.04","-0.04","-0.50"
"","Brek Shea","MIA","2020","W","704","-0.25","-0.05","-0.08","-0.22","0.26","-0.16","-0.50"
"","Anton Walkes","ATL","2020","CB","1479","0.16","0.13","-0.22","-0.28","-0.24","-0.06","-0.51"
"","Jordan Harvey","LAFC","2020","FB","831","-0.09","-0.17","-0.43","0.24","-0.06","-0.00","-0.52"
"","Caleb Stanko","CIN","2020","CM","546","-0.13","-0.01","0.23","-0.35","-0.22","-0.05","-0.53"
"","James Musa","MIN","2020","CB","190","-0.01","-0.30","-0.17","-0.00","-0.04","-0.00","-0.53"
"","Aaron Long","NYRB","2020","CB","1454","-0.03","0.11","-0.60","-0.02","0.04","-0.02","-0.53"
"","Robin Jansson","ORL","2020","CB","2201","-0.02","0.24","-0.23","-0.32","-0.29","0.08","-0.53"
"","Russell Canouse","DCU","2020","CB","1365","0.14","-0.23","-0.06","-0.36","0.03","-0.05","-0.54"
"","Pablo Ruiz","RSL","2020","DM","1413","0.06","0.04","0.19","-0.22","-0.39","-0.22","-0.54"
"","Rudy Camacho","MTL","2020","CB","1306","0.05","-0.68","-0.09","0.28","-0.15","0.04","-0.54"
"","Jayden Nelson","TOR","2020","W","182","-0.14","-0.04","-0.09","-0.16","-0.12","0.00","-0.54"
"","Jorge Corrales","MTL","2020","FB","1174","-0.13","0.04","-0.31","0.01","-0.11","-0.05","-0.54"
"","Wilfried Zahibo","NER, HOU","2020","DM","333","-0.08","-0.03","-0.19","-0.15","-0.09","-0.01","-0.54"
"","Harrison Afful","CLB","2020","FB","1968","-0.27","-0.50","0.16","0.39","-0.26","-0.05","-0.54"
"","Danny Hoesen","SJE","2020","W","286","-0.13","-0.03","-0.14","-0.23","0.07","-0.10","-0.55"
"","Youness Mokhtar","CLB","2020","W","907","-0.13","-0.08","0.05","-0.58","-0.03","0.22","-0.56"
"","Greg Garza","CIN","2020","FB","548","-0.04","0.03","-0.18","-0.27","-0.08","-0.02","-0.56"
"","George Bello","ATL","2020","FB","1777","-0.17","0.09","0.20","-0.86","0.17","-0.01","-0.56"
"","Aboubacar Keita","CLB","2020","CB","1043","0.00","0.17","-0.28","-0.23","-0.22","-0.01","-0.56"
"","Jakob Glesnes","PHI","2020","CB","1660","-0.34","0.12","-0.30","-0.11","0.05","0.01","-0.57"
"","Magnus Eriksson","SJE","2020","AM","507","0.12","-0.03","-0.04","-0.38","-0.27","0.02","-0.57"
"","Dom Dwyer","ORL","2020","ST","132","-0.34","-0.05","-0.01","0.01","-0.11","-0.09","-0.58"
"","Antonio Mlinar Delamea","NER","2020","CB","357","0.00","0.04","-0.32","-0.21","-0.09","-0.00","-0.58"
"","Sean Davis","NYRB","2020","CM","1178","-0.01","0.02","-0.27","0.06","-0.29","-0.10","-0.59"
"","Luis Amarilla","MIN","2020","ST","455","-0.50","-0.04","-0.11","-0.34","0.37","0.03","-0.59"
"","Álvaro Barreal","CIN","2020","W","348","-0.04","0.02","-0.02","-0.17","-0.17","-0.21","-0.59"
"","Roger Espinoza","SKC","2020","CM","1054","-0.14","-0.01","-0.55","0.06","0.01","0.04","-0.59"
"","Caden Clark","NYRB","2020","W","299","-0.24","-0.04","-0.08","-0.12","0.02","-0.13","-0.60"
"","Derrick Jones","NSH","2020","ST","987","-0.08","-0.06","0.20","-0.25","-0.34","-0.07","-0.61"
"","Sebastian Berhalter","CLB","2020","DM","442","-0.04","-0.01","-0.12","-0.28","-0.11","-0.04","-0.61"
"","Erik Holt","RSL","2020","CB","418","0.07","-0.03","-0.74","0.19","-0.09","-0.02","-0.61"
"","Mason Toye","MIN, MTL","2020","ST","667","0.18","-0.04","-0.20","-0.27","-0.32","0.04","-0.62"
"","Nicolás Acevedo","NYC","2020","DM","189","-0.08","-0.24","-0.15","-0.08","-0.06","-0.01","-0.62"
"","Tsubasa Endoh","TOR","2020","W","714","0.02","-0.07","-0.23","-0.13","-0.32","0.10","-0.62"
"","Mauricio Pineda","CHI","2020","CB","2195","-0.09","0.17","0.12","-0.54","-0.17","-0.12","-0.62"
"","Erik Sorga","DCU","2020","ST","790","-0.07","0.10","0.07","-0.40","-0.41","0.08","-0.62"
"","Sebastián Méndez","ORL","2020","CM","1215","-0.27","-0.11","0.09","-0.46","-0.06","0.18","-0.63"
"","Pity Martínez","ATL","2020","AM","653","-0.05","0.10","-0.19","0.10","-0.38","-0.21","-0.64"
"","Griffin Yow","DCU","2020","W","455","-0.01","-0.01","-0.06","-0.16","-0.23","-0.17","-0.64"
"","Felipe Hernandez","SKC","2020","CM","867","-0.23","0.04","-0.18","-0.10","-0.28","0.12","-0.64"
"","Theo Bair","VAN","2020","ST","530","-0.17","-0.07","0.10","-0.12","-0.24","-0.15","-0.65"
"","Victor Ulloa","MIA","2020","DM","1582","-0.43","-0.02","0.23","-0.34","-0.12","0.02","-0.65"
"","Emerson Hyndman","ATL","2020","CM","1515","0.15","-0.00","-0.14","0.05","-0.46","-0.24","-0.65"
"","John Nelson","FCD","2020","FB","786","-0.37","0.04","0.21","-0.47","-0.07","0.00","-0.66"
"","Rodrigo Schlegel","ORL","2020","CB","735","-0.03","0.03","-0.46","-0.08","-0.10","-0.03","-0.66"
"","Nick Besler","RSL","2020","DM","623","-0.06","-0.02","-0.28","-0.30","-0.12","0.11","-0.68"
"","Emanuel Maciel","MTL","2020","CM","841","0.06","0.01","0.02","-0.39","-0.28","-0.09","-0.68"
"","Bryce Duke","LAFC","2020","CM","299","-0.17","-0.01","-0.13","-0.37","-0.00","-0.02","-0.69"
"","Tom Pettersson","CIN","2020","CB","1255","0.13","-0.12","-0.50","-0.07","-0.14","0.00","-0.70"
"","Thiago Santos","FCD","2020","DM","1760","-0.23","0.10","0.59","-0.67","-0.36","-0.13","-0.70"
"","Tesho Akindele","ORL","2020","ST","922","-0.24","-0.10","0.05","-0.43","-0.09","0.11","-0.71"
"","Yordy Reyna","VAN, DCU","2020","ST","717","-0.20","-0.05","0.15","0.12","-0.55","-0.18","-0.71"
"","Christian Ramirez","HOU","2020","ST","757","-0.17","-0.09","-0.03","-0.06","-0.28","-0.09","-0.73"
"","Blaise Matuidi","MIA","2020","DM","1387","-0.54","-0.27","-0.27","0.26","0.08","0.00","-0.73"
"","Mo Adams","ATL","2020","DM","846","-0.19","-0.08","0.01","-0.18","-0.23","-0.08","-0.73"
"","Giancarlo González","LAG","2020","CB","819","-0.04","-0.24","-0.09","-0.25","-0.09","-0.03","-0.74"
"","Joey Dezart","ORL","2020","CM","446","-0.10","0.01","-0.23","-0.19","-0.17","-0.07","-0.74"
"","Chris Duvall","POR","2020","FB","814","-0.05","-0.05","-0.15","-0.33","-0.16","0.00","-0.75"
"","Héber","NYC","2020","ST","964","-0.23","-0.13","-0.04","-0.56","0.11","0.08","-0.78"
"","Jason Pendant","NYRB","2020","FB","1765","-0.14","-0.00","-0.52","0.09","-0.20","-0.01","-0.78"
"","Nick DeLeon","TOR","2020","W","1038","0.25","-0.14","-0.06","-0.40","-0.47","0.03","-0.79"
"","Xavier Arreaga","SEA","2020","CB","1158","0.08","-0.23","0.04","-0.44","-0.21","-0.04","-0.80"
"","Matthew Real","PHI","2020","FB","717","0.02","0.01","-0.65","-0.03","-0.12","-0.03","-0.80"
"","Florian Jungwirth","SJE","2020","CB","1733","0.21","0.05","-0.51","-0.18","-0.39","0.03","-0.81"
"","Nick Lima","SJE","2020","FB","1649","0.35","0.12","-0.58","-0.59","-0.08","-0.03","-0.81"
"","Marvin Loría","POR","2020","W","781","-0.14","-0.09","0.01","-0.33","-0.29","0.01","-0.82"
"","Darlington Nagbe","CLB","2020","DM","1300","0.25","0.04","-0.15","-0.78","-0.24","0.05","-0.82"
"","Adam Jahn","ATL","2020","ST","1174","0.08","-0.18","-0.00","-0.49","0.05","-0.29","-0.83"
"","Eric Remedi","ATL","2020","DM","1280","-0.08","0.20","-0.30","-0.66","-0.20","0.18","-0.85"
"","Derrick Etienne","CLB","2020","W","1015","0.15","-0.09","-0.25","-0.33","-0.30","-0.05","-0.85"
"","Julián Carranza","MIA","2020","ST","655","-1.13","0.04","0.04","-0.04","0.15","0.09","-0.85"
"","Cristian Dájome","VAN","2020","W","1746","-0.25","-0.08","0.21","-0.49","0.21","-0.46","-0.86"
"","Donny Toia","RSL","2020","FB","1806","-0.19","-0.00","-0.32","-0.08","-0.25","-0.03","-0.87"
"","Dru Yearwood","NYRB","2020","CM","650","0.01","-0.27","-0.19","-0.22","-0.18","-0.03","-0.87"
"","Allan Cruz","CIN","2020","AM","841","-0.57","0.14","-0.29","-0.18","0.00","0.03","-0.87"
"","Robert Beric","CHI","2020","ST","2101","-0.50","-0.15","-0.19","-0.28","-0.14","0.40","-0.87"
"","Jesús Medina","NYC","2020","W","1605","-0.93","-0.16","-0.08","-0.72","0.63","0.39","-0.88"
"","Leonard Owusu","VAN","2020","CM","1443","-0.34","-0.07","0.28","-0.54","-0.15","-0.08","-0.90"
"","Ola Kamara","DCU","2020","ST","1453","-0.04","-0.16","0.03","-0.15","-0.78","0.19","-0.90"
"","Tim Parker","NYRB","2020","CB","1754","-0.34","-0.08","-0.14","0.01","-0.37","0.01","-0.91"
"","Diego Rubio","COL","2020","ST","1137","-0.11","-0.27","0.15","0.18","-0.89","0.04","-0.91"
"","Fatai Alashe","CLB, CIN","2020","DM","525","-0.23","0.01","-0.29","-0.29","0.16","-0.27","-0.92"
"","Andrew Gutman","CIN","2020","FB","1604","-0.12","0.11","0.04","-1.26","0.24","0.07","-0.92"
"","Jonathan dos Santos","LAG","2020","DM","666","-0.24","-0.01","-0.30","-0.07","-0.18","-0.11","-0.92"
"","Miguel Ángel Navarro","CHI","2020","FB","1096","-0.27","0.01","0.00","-0.65","0.09","-0.10","-0.93"
"","Andrés Reyes","MIA","2020","CB","1214","0.09","-0.25","-0.33","-0.39","-0.04","-0.01","-0.93"
"","Hany Mukhtar","NSH","2020","AM","1159","-0.00","0.22","-0.26","-0.48","-0.18","-0.24","-0.94"
"","Edison Flores","DCU","2020","W","962","-0.10","0.14","-0.29","-0.15","-0.36","-0.19","-0.95"
"","Tanner Beason","SJE","2020","CB","869","0.09","-0.14","-0.32","-0.02","-0.41","-0.20","-1.01"
"","Jake Mulraney","ATL","2020","W","800","0.18","0.04","-0.08","-0.63","-0.37","-0.16","-1.01"
"","Samuel Piette","MTL","2020","CM","2116","-0.61","-0.14","0.05","-0.21","0.07","-0.18","-1.01"
"","Matías Pellegrini","MIA","2020","W","1060","-0.54","-0.33","0.59","-0.50","-0.13","-0.11","-1.01"
"","Ryan Raposo","VAN","2020","W","478","-0.45","-0.00","-0.01","-0.09","-0.35","-0.12","-1.02"
"","Chris Wondolowski","SJE","2020","ST","1386","-0.81","0.09","0.03","-0.13","-0.12","-0.08","-1.03"
"","Tosaint Ricketts","VAN","2020","ST","538","-0.35","0.22","-0.04","-0.07","-0.66","-0.17","-1.06"
"","Joseph Mora","DCU","2020","FB","1741","-0.09","0.00","-0.28","-0.41","-0.25","-0.05","-1.07"
"","Jesús Ferreira","FCD","2020","AM","1065","-0.52","-0.12","0.09","-0.48","-0.23","0.19","-1.07"
"","Brandon Vázquez","CIN","2020","ST","881","-0.12","-0.11","-0.30","-0.24","-0.10","-0.20","-1.07"
"","Patrick Mullins","TOR","2020","ST","486","-0.15","-0.02","-0.17","-0.07","-0.45","-0.21","-1.07"
"","Everton Luiz","RSL","2020","CM","1003","-0.07","-0.07","-0.14","-0.42","-0.28","-0.09","-1.07"
"","Andrés Perea","ORL","2020","AM","1386","0.24","-0.27","0.08","-0.27","-0.75","-0.12","-1.10"
"","Andy Polo","POR","2020","W","855","-0.14","-0.03","-0.06","-0.49","-0.29","-0.09","-1.10"
"","Sam Vines","COL","2020","FB","1776","-0.19","-0.16","-0.06","-0.87","0.14","0.04","-1.10"
"","Francisco Calvo","CHI","2020","CB","2085","0.06","-0.14","-1.47","0.75","-0.17","-0.16","-1.13"
"","Matías Vera","HOU","2020","DM","1840","-0.14","0.13","-0.58","-0.33","-0.33","0.10","-1.16"
"","Ulises Segura","DCU","2020","ST","745","-0.17","-0.05","0.02","-0.43","-0.53","-0.03","-1.18"
"","Chase Gasper","MIN","2020","FB","1639","0.23","-0.20","-0.84","-0.14","-0.16","-0.09","-1.21"
"","Ignacio Aliseda","CHI","2020","W","1525","0.16","-0.11","-0.20","-0.37","-0.91","0.22","-1.21"
"","Tanner Tessmann","FCD","2020","DM","1135","0.13","0.01","-0.47","-0.66","-0.15","-0.06","-1.21"
"","Yamil Asad","DCU","2020","W","1753","-0.64","0.12","0.05","-0.09","-0.54","-0.15","-1.25"
"","Damir Kreilach","RSL","2020","ST","1903","-0.34","-0.01","-0.54","-0.43","0.12","-0.06","-1.25"
"","Jake Nerwinski","VAN","2020","FB","1868","-0.20","-0.20","-0.17","-0.93","-0.02","0.23","-1.28"
"","Raúl Ruidíaz","SEA","2020","ST","1558","-0.64","-0.24","-0.29","-0.16","0.01","0.01","-1.31"
"","Hassani Dotson","MIN","2020","DM","1339","-0.42","0.03","-0.05","-0.56","-0.25","-0.07","-1.33"
"","Mathieu Deplagne","CIN","2020","FB","1301","-0.34","-0.25","-0.57","0.10","-0.25","-0.03","-1.34"
"","Roberto Puncec","SKC","2020","CB","1858","0.19","-0.06","-1.01","-0.08","-0.40","-0.01","-1.37"
"","Matheus Rossetto","ATL","2020","CM","861","-0.12","-0.05","-0.16","-0.58","-0.38","-0.13","-1.43"
"","Jeff Larentowicz","ATL","2020","DM","1250","-0.32","0.04","-0.49","-0.43","-0.10","-0.13","-1.43"
"","Júnior Moreno","DCU","2020","CM","1907","-0.33","-0.03","-0.19","-0.16","-0.55","-0.17","-1.44"
"","Frankie Amaya","CIN","2020","CM","1881","-0.18","0.07","0.19","-0.81","-0.76","-0.00","-1.49"
"","Jürgen Locadia","CIN","2020","ST","1483","0.14","-0.16","-0.28","-0.60","-0.66","0.06","-1.51"
"","Kei Kamara","MIN, COL","2020","ST","1082","0.02","-0.12","-0.22","-0.93","-0.06","-0.20","-1.51"
"","Russell Teibert","VAN","2020","CM","1729","-0.34","-0.06","0.37","-0.62","-0.70","-0.18","-1.53"
"","Alex Muyl","NSH, NYRB","2020","W","1236","-0.78","-0.13","-0.01","-0.22","-0.17","-0.25","-1.56"
"","Siem de Jong","CIN","2020","ST","871","-0.68","-0.02","-0.48","-0.24","-0.13","-0.05","-1.58"
"","Perry Kitchen","LAG","2020","DM","1845","-0.54","-0.29","0.10","-0.47","-0.37","-0.08","-1.64"
"","Corey Baird","RSL","2020","W","1649","-0.30","-0.17","0.10","-0.79","-0.58","-0.04","-1.79"
"","Lucas Zelarayán","CLB","2020","AM","1129","-0.31","-0.03","-0.23","-0.47","-0.43","-0.49","-1.96"
"","Mauro Manotas","HOU","2020","ST","1454","-0.58","-0.12","-0.14","-0.88","-0.23","-0.06","-2.01"
"","Aljaz Struna","HOU","2020","CB","1575","0.17","-0.47","-1.69","-0.04","-0.26","0.01","-2.28"
"","Joe Gyau","CIN","2020","W","1961","0.10","0.08","-0.21","-1.49","-0.53","-0.30","-2.35"
"","Yuya Kubo","CIN","2020","W","1412","-0.53","-0.07","-0.14","-0.71","-0.73","-0.20","-2.38"
"","Andrés Ríos","SJE","2020","ST","1845","-1.38","-0.33","-0.23","-0.40","0.15","-0.21","-2.40"