"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Alejandro Pozuelo","TOR","2020","ST","2162","52","25","9","8.45","1.37","0.55","68","7","8.48","-1.48","16.94","8.35","6.47"
"","Diego Rossi","LAFC","2020","W","1851","71","34","14","10.94","2.55","3.06","26","2","3.52","-1.52","14.46","5.83","5.00"
"","Darwin Quintero","HOU","2020","W","1822","59","24","7","6.43","-0.74","0.57","60","6","7.43","-1.43","13.86","2.97","3.83"
"","Robert Beric","CHI","2020","ST","2101","62","29","12","11.25","0.12","0.75","20","1","2.19","-1.19","13.44","7.46","7.38"
"","Kacper Przybylko","PHI","2020","ST","2160","54","25","8","9.24","-0.64","-1.24","29","5","4.17","0.83","13.41","4.49","5.19"
"","Cristian Pavón","LAG","2020","W","2048","62","25","10","7.46","1.07","2.54","42","3","5.54","-2.54","13.00","5.08","4.57"
"","Nicolás Lodeiro","SEA","2020","AM","1854","39","17","7","6.10","-0.40","0.90","47","5","6.88","-1.88","12.99","3.74","4.09"
"","Diego Valeri","POR","2020","AM","1763","39","16","8","5.92","0.65","2.08","59","5","6.98","-1.98","12.90","3.65","3.40"
"","Valentín Castellanos","NYC","2020","ST","1493","75","34","6","9.88","-0.04","-3.88","17","2","2.36","-0.36","12.23","2.87","5.16"
"","Gyasi Zardes","CLB","2020","ST","1849","41","19","12","10.53","-0.41","1.47","16","3","1.51","1.49","12.04","5.64","4.43"
"","Raúl Ruidíaz","SEA","2020","ST","1558","55","23","12","9.51","1.53","2.49","16","3","2.49","0.51","12.00","6.74","6.45"
"","Jordan Morris","SEA","2020","W","1766","36","17","9","6.60","1.40","2.40","23","4","5.04","-1.04","11.64","5.90","3.85"
"","Lewis Morgan","MIA","2020","W","2105","56","18","5","4.76","0.21","0.24","62","5","6.35","-1.35","11.12","3.52","3.65"
"","Adam Buksa","NER","2020","ST","1643","59","24","6","8.71","-2.43","-2.71","16","1","1.87","-0.87","10.58","3.83","6.49"
"","Brian Rodríguez","LAFC","2020","W","1562","49","18","2","4.92","-0.76","-2.92","42","6","5.48","0.52","10.40","1.22","2.58"
"","Johnny Russell","SKC","2020","W","1656","50","17","6","5.52","0.02","0.48","30","2","4.68","-2.68","10.21","4.36","4.16"
"","Romell Quioto","MTL","2020","ST","1603","51","20","8","6.58","-1.06","1.42","22","5","3.09","1.91","9.67","3.71","4.08"
"","Lucas Cavallini","VAN","2020","ST","1584","44","18","6","8.91","-0.49","-2.91","7","0","0.74","-0.74","9.66","4.38","4.86"
"","Nani","ORL","2020","W","1594","51","16","6","4.73","-0.01","1.27","35","4","4.77","-0.77","9.50","4.47","2.95"
"","Chris Mueller","ORL","2020","W","1575","36","19","10","6.21","1.26","3.79","28","6","3.12","2.88","9.33","6.79","3.93"
"","Gustavo Bou","NER","2020","ST","1449","64","22","5","5.59","-0.80","-0.59","29","1","3.64","-2.64","9.23","3.74","4.74"
"","Pedro Santos","CLB","2020","W","1983","44","16","6","4.08","1.45","1.92","36","6","4.77","1.23","8.85","3.92","2.84"
"","Franco Jara","FCD","2020","ST","1491","37","20","7","7.26","-0.61","-0.26","14","0","1.59","-1.59","8.85","4.71","5.02"
"","Michael Barrios","FCD","2020","W","1819","35","10","1","3.63","-1.59","-2.63","39","3","5.15","-2.15","8.78","0.69","1.98"
"","Cristian Espinoza","SJE","2020","W","1907","52","19","3","2.45","0.95","0.55","46","7","6.11","0.89","8.56","2.37","1.39"
"","Albert Rusnák","RSL","2020","AM","1388","31","8","3","5.27","-1.84","-2.27","34","2","3.22","-1.22","8.49","1.62","3.15"
"","Sergio Santos","PHI","2020","ST","1304","34","12","8","5.84","-0.44","2.16","19","2","2.62","-0.62","8.45","3.20","2.79"
"","Brenden Aaronson","PHI","2020","AM","2065","36","16","4","5.34","0.57","-1.34","26","4","2.99","1.01","8.32","1.74","2.67"
"","Jesús Medina","NYC","2020","W","1605","32","16","5","5.18","1.03","-0.18","32","2","2.87","-0.87","8.05","2.98","3.39"
"","Memo Rodríguez","HOU","2020","CM","1710","52","16","5","5.42","0.23","-0.42","30","2","2.60","-0.60","8.02","3.01","3.46"
"","Fredy Montero","VAN","2020","ST","1158","31","13","5","5.15","-0.42","-0.15","16","2","2.77","-0.77","7.92","0.87","1.84"
"","Ayo Akinola","TOR","2020","ST","1147","36","18","9","7.50","0.73","1.50","6","0","0.40","-0.40","7.90","5.92","5.41"
"","Kevin Molino","MIN","2020","W","1364","38","17","9","6.32","1.14","2.68","15","2","1.52","0.48","7.84","3.80","4.11"
"","Mauro Manotas","HOU","2020","ST","1454","45","20","3","5.37","-1.16","-2.37","23","1","2.43","-1.43","7.80","3.35","3.52"
"","Chris Wondolowski","SJE","2020","ST","1386","31","19","7","6.58","2.41","0.42","10","1","1.14","-0.14","7.72","2.98","3.33"
"","Gadi Kinda","SKC","2020","CM","1486","35","11","6","5.18","0.02","0.82","24","2","2.41","-0.41","7.59","2.95","3.26"
"","Bradley Wright-Phillips","LAFC","2020","ST","1155","33","15","8","6.56","0.55","1.44","10","3","1.03","1.97","7.59","4.23","3.27"
"","Przemyslaw Frankowski","CHI","2020","W","1593","27","13","3","4.85","-0.54","-1.85","34","1","2.63","-1.63","7.48","2.41","2.86"
"","Robin Lod","MIN","2020","W","1720","40","13","7","4.78","0.78","2.22","22","3","2.58","0.42","7.35","3.05","2.53"
"","Felipe Mora","POR","2020","ST","1312","32","17","7","5.96","0.22","1.04","12","2","1.39","0.61","7.34","3.29","3.67"
"","Djordje Mihailovic","CHI","2020","W","1279","26","7","2","3.56","-1.12","-1.56","24","6","3.76","2.24","7.32","1.56","2.14"
"","Rodolfo Pizarro","MIA","2020","AM","1761","31","11","4","5.04","-0.14","-1.04","24","4","2.22","1.78","7.26","2.34","3.43"
"","Sebastian Lletget","LAG","2020","AM","1694","34","16","5","5.27","2.55","-0.27","17","3","1.94","1.06","7.21","2.47","3.22"
"","Jamiro Monteiro","PHI","2020","CM","2128","32","14","3","3.31","-0.16","-0.31","43","3","3.81","-0.81","7.12","1.63","2.09"
"","Tom Barlow","NYRB","2020","ST","1069","39","20","3","6.48","0.76","-3.48","3","0","0.38","-0.38","6.86","1.92","5.06"
"","Teal Bunbury","NER","2020","W","1582","43","12","8","5.19","-0.32","2.81","14","1","1.66","-0.66","6.84","6.23","4.13"
"","Alejandro Bedoya","PHI","2020","CM","1998","31","12","3","2.67","0.84","0.33","29","2","4.15","-2.15","6.82","1.97","1.79"
"","Julian Gressel","DCU","2020","W","1842","28","5","2","2.19","-0.12","-0.19","38","3","4.56","-1.56","6.76","0.68","1.37"
"","Alan Pulido","SKC","2020","ST","1045","36","18","6","5.26","1.12","0.74","12","4","1.40","2.60","6.67","3.89","3.09"
"","Khiry Shelton","SKC","2020","W","1594","29","14","5","4.84","0.33","0.16","25","1","1.81","-0.81","6.65","3.52","3.28"
"","Damir Kreilach","RSL","2020","ST","1903","48","20","8","5.76","3.06","2.24","10","1","0.76","0.24","6.52","4.93","3.52"
"","Keaton Parks","NYC","2020","DM","1884","40","16","3","4.63","0.65","-1.63","16","0","1.85","-1.85","6.48","1.29","2.83"
"","Pablo Piatti","TOR","2020","W","1410","39","16","4","3.78","0.75","0.22","26","2","2.59","-0.59","6.37","3.38","2.23"
"","Saphir Taïder","MTL","2020","CM","1054","19","5","4","3.80","-0.76","0.20","23","4","2.47","1.53","6.28","2.32","2.05"
"","Cristian Roldan","SEA","2020","W","1984","25","8","0","2.32","-1.25","-2.32","26","4","3.94","0.06","6.26","0.00","1.28"
"","Ola Kamara","DCU","2020","ST","1453","28","9","4","5.42","-1.51","-1.42","7","0","0.78","-0.78","6.20","2.11","3.44"
"","Álvaro Medrán","CHI","2020","DM","2157","37","13","2","2.52","0.58","-0.52","38","3","3.58","-0.58","6.09","0.71","1.16"
"","Júnior Urso","ORL","2020","CM","1888","33","13","3","3.91","-0.82","-0.91","12","1","2.12","-1.12","6.03","1.29","2.51"
"","Anton Tinnerholm","NYC","2020","FB","2210","21","6","4","1.54","-0.17","2.46","39","4","4.49","-0.49","6.03","2.25","0.82"
"","Daniel Royer","NYRB","2020","ST","1445","30","10","4","4.05","-0.29","-0.05","11","2","1.85","0.15","5.90","1.19","1.57"
"","Fabian Herbers","CHI","2020","AM","1459","31","10","4","3.91","-1.05","0.09","21","1","1.95","-0.95","5.86","2.00","2.44"
"","Maximiliano Urruti","MTL","2020","ST","963","22","11","5","5.34","0.51","-0.34","11","0","0.50","-0.50","5.84","4.81","4.00"
"","Cristian Dájome","VAN","2020","W","1746","31","10","3","2.54","-1.38","0.46","24","3","3.12","-0.12","5.66","0.93","0.96"
"","Maikel Chang","RSL","2020","W","1193","14","4","1","1.38","-0.32","-0.38","35","4","4.28","-0.28","5.65","1.06","0.96"
"","Andrés Ríos","SJE","2020","ST","1845","28","8","5","4.29","-0.76","0.71","24","1","1.31","-0.31","5.60","2.86","3.25"
"","Emanuel Reynoso","MIN","2020","AM","897","22","7","1","1.30","0.10","-0.30","33","6","4.20","1.80","5.50","0.00","0.65"
"","Jürgen Locadia","CIN","2020","ST","1483","51","14","1","4.77","-2.62","-3.77","9","0","0.71","-0.71","5.48","0.26","3.05"
"","Brooks Lennon","ATL","2020","FB","1941","14","5","2","1.13","0.87","0.87","25","3","4.24","-1.24","5.37","0.71","0.70"
"","Gonzalo Higuaín","MIA","2020","ST","861","35","12","1","3.86","-0.94","-2.86","12","2","1.40","0.60","5.26","1.06","2.52"
"","Daryl Dike","ORL","2020","ST","1321","30","12","8","4.58","0.78","3.42","6","1","0.62","0.38","5.20","4.91","2.50"
"","Tajon Buchanan","NER","2020","W","1229","30","12","2","3.27","-1.02","-1.27","12","2","1.89","0.11","5.16","1.32","2.93"
"","Daniel Ríos","NSH","2020","ST","790","25","8","4","4.18","-0.20","-0.18","6","0","0.93","-0.93","5.11","2.26","2.84"
"","Gerso","SKC","2020","W","925","23","5","3","2.71","-1.20","0.29","11","3","2.39","0.61","5.10","1.05","1.75"
"","Ethan Finlay","MIN","2020","W","1035","18","9","4","3.57","0.86","0.43","12","2","1.53","0.47","5.10","2.44","2.07"
"","Yimmi Chará","POR","2020","W","1345","23","12","4","2.93","1.10","1.07","16","3","2.16","0.84","5.09","2.22","1.36"
"","Jeremy Ebobisse","POR","2020","W","1163","32","14","8","3.91","0.83","4.09","12","2","1.11","0.89","5.02","5.37","2.40"
"","Héber","NYC","2020","ST","964","26","14","1","3.63","-0.42","-2.63","12","2","1.31","0.69","4.94","0.37","2.40"
"","Kei Kamara","MIN, COL","2020","ST","1082","28","10","4","3.85","1.54","0.14","11","1","1.06","-0.06","4.91","3.55","2.85"
"","Brandon Bye","NER","2020","FB","1791","13","2","0","1.11","-0.96","-1.11","17","1","3.80","-2.80","4.91","0.00","0.79"
"","Alexander Ring","NYC","2020","DM","2223","26","8","4","1.95","0.74","2.05","28","3","2.94","0.06","4.89","2.67","1.28"
"","Corey Baird","RSL","2020","W","1649","29","4","2","3.22","-1.66","-1.22","16","2","1.64","0.36","4.85","0.73","2.04"
"","Luis Díaz","CLB","2020","W","1291","31","13","0","2.70","-0.50","-2.70","11","3","2.15","0.85","4.85","0.00","1.09"
"","Carlos Fierro","SJE","2020","W","1050","21","8","2","3.32","-0.43","-1.32","11","3","1.49","1.51","4.81","1.06","1.92"
"","Bojan Krkić","MTL","2020","ST","1256","25","12","4","2.92","-0.03","1.08","19","2","1.86","0.14","4.79","2.71","2.36"
"","Haris Medunjanin","CIN","2020","DM","1906","9","2","1","1.03","-0.08","-0.03","43","1","3.73","-2.73","4.75","1.06","1.01"
"","Ariel Lassiter","HOU","2020","W","1027","30","16","3","3.66","-0.63","-0.66","12","1","1.07","-0.07","4.73","0.85","1.94"
"","Latif Blessing","LAFC","2020","CM","1878","15","6","1","2.69","-0.70","-1.69","25","2","2.01","-0.01","4.70","0.58","1.40"
"","Randall Leal","NSH","2020","W","1697","41","18","3","2.07","0.33","0.93","20","4","2.62","1.38","4.70","2.13","1.41"
"","Hany Mukhtar","NSH","2020","AM","1159","32","13","4","2.83","0.87","1.17","27","3","1.86","1.14","4.69","3.42","1.93"
"","Lucas Zelarayán","CLB","2020","AM","1129","23","10","6","2.23","1.82","3.77","25","2","2.44","-0.44","4.67","3.73","1.19"
"","Diego Rubio","COL","2020","ST","1137","24","7","3","2.98","-0.46","0.02","13","2","1.68","0.32","4.66","2.17","2.01"
"","Ryan Hollingshead","FCD","2020","FB","1907","31","11","4","2.82","0.34","1.18","18","0","1.81","-1.81","4.62","3.66","2.05"
"","Brian White","NYRB","2020","ST","954","26","11","5","4.10","-0.32","0.90","9","1","0.49","0.51","4.59","4.63","3.50"
"","Jozy Altidore","TOR","2020","ST","804","28","14","2","3.91","1.06","-1.91","10","0","0.63","-0.63","4.54","1.91","3.19"
"","Ali Adnan","VAN","2020","FB","1953","14","5","2","0.61","0.31","1.39","16","4","3.91","0.09","4.52","1.43","0.36"
"","Kelvin Leerdam","SEA","2020","FB","1586","17","3","3","2.26","-1.71","0.74","17","1","2.25","-1.25","4.50","1.00","1.18"
"","Alejandro Romero Gamarra","NYRB","2020","AM","1161","16","5","2","1.29","0.86","0.71","29","3","3.16","-0.16","4.45","0.49","0.69"
"","Justin Meram","RSL","2020","W","1242","16","8","3","2.06","0.31","0.94","14","3","2.32","0.68","4.38","1.28","1.27"
"","José Cifuentes","LAFC","2020","CM","1239","34","10","1","1.60","0.44","-0.60","24","2","2.74","-0.74","4.34","0.10","0.72"
"","Mark-Anthony Kaye","LAFC","2020","CM","1173","13","4","3","2.28","0.24","0.72","22","4","2.05","1.95","4.34","2.13","1.07"
"","Yamil Asad","DCU","2020","W","1753","19","7","3","2.73","0.37","0.27","16","2","1.58","0.42","4.31","2.84","2.43"
"","Alberth Elis","HOU","2020","W","413","17","8","4","3.54","-0.29","0.47","7","2","0.74","1.26","4.27","2.15","2.07"
"","Jared Stroud","NYRB","2020","W","1033","8","0","0","0.39","-0.39","-0.39","25","2","3.88","-1.88","4.27","0.00","0.22"
"","Andre Shinyashiki","COL","2020","W","1094","33","18","4","3.18","1.66","0.82","14","0","1.09","-1.09","4.27","1.74","1.89"
"","Lee Nguyen","MIA, NER","2020","AM","917","11","6","1","1.85","-0.20","-0.85","31","1","2.41","-1.41","4.26","0.24","1.46"
"","Niko Hansen","HOU","2020","W","799","18","7","2","2.93","-0.38","-0.93","7","1","1.29","-0.29","4.22","1.91","2.38"
"","Ronald Matarrita","NYC","2020","FB","1809","16","3","0","0.76","-0.52","-0.76","34","2","3.41","-1.41","4.18","0.00","0.54"
"","Eduard Atuesta","LAFC","2020","DM","1472","32","4","1","2.38","-1.30","-1.38","18","2","1.77","0.23","4.15","0.26","1.01"
"","Diego Fagundez","NER","2020","DM","1076","21","5","1","2.93","-0.90","-1.93","17","0","1.21","-1.21","4.14","0.09","1.70"
"","Brandon Vázquez","CIN","2020","ST","881","23","9","2","3.37","-1.05","-1.37","5","2","0.76","1.24","4.13","1.29","2.13"
"","Samuel Piette","MTL","2020","CM","2116","19","6","1","1.81","-0.23","-0.81","22","1","2.28","-1.28","4.09","0.44","1.11"
"","Benji Michel","ORL","2020","W","974","16","10","5","2.64","1.63","2.36","11","2","1.42","0.58","4.06","3.33","1.76"
"","Florian Valot","NYRB","2020","W","1637","24","6","2","2.11","-0.02","-0.11","20","2","1.93","0.07","4.04","0.99","1.30"
"","Gianluca Busio","SKC","2020","DM","1408","36","6","1","2.33","-1.89","-1.33","16","3","1.70","1.30","4.03","1.06","1.64"
"","Ezequiel Barco","ATL","2020","W","1145","31","14","2","3.25","0.96","-1.25","16","2","0.75","1.25","4.00","1.22","1.93"
"","Carlos Vela","LAFC","2020","W","479","22","10","4","2.47","0.45","1.53","13","1","1.51","-0.51","3.98","2.01","1.43"
"","Mauricio Pereyra","ORL","2020","AM","1174","9","4","2","0.58","0.98","1.42","32","5","3.36","1.64","3.94","2.19","0.44"
"","Ignacio Aliseda","CHI","2020","W","1532","26","6","1","2.62","-0.71","-1.62","14","1","1.29","-0.29","3.91","0.07","1.47"
"","Juan Agudelo","MIA","2020","ST","940","19","4","3","3.02","-0.89","-0.02","4","0","0.87","-0.87","3.89","2.23","2.15"
"","Maximiliano Moralez","NYC","2020","AM","956","13","7","1","1.62","1.04","-0.62","28","4","2.25","1.75","3.87","0.26","0.57"
"","Sebastián Blanco","POR","2020","W","722","22","7","2","1.49","0.06","0.51","12","4","2.37","1.63","3.85","1.46","0.76"
"","Younes Namli","COL","2020","W","1350","23","10","2","1.01","0.77","0.99","22","3","2.81","0.19","3.82","1.86","0.80"
"","Chicharito","LAG","2020","ST","725","20","6","2","3.50","-1.10","-1.50","3","0","0.29","-0.29","3.80","1.42","2.44"
"","Fafa Picault","FCD","2020","W","1127","22","8","3","1.91","0.34","1.09","14","1","1.83","-0.83","3.74","0.92","1.25"
"","Ricardo Pepi","FCD","2020","ST","557","14","6","2","3.17","-0.43","-1.17","4","1","0.57","0.43","3.74","1.41","1.50"
"","Andrés Ricaurte","FCD","2020","AM","1187","17","6","1","0.98","0.80","0.02","30","1","2.71","-1.71","3.69","0.66","0.28"
"","Kyle Duncan","NYRB","2020","FB","2084","13","4","3","0.95","0.47","2.04","14","2","2.72","-0.72","3.67","2.17","0.73"
"","Ruan","ORL","2020","FB","1781","7","2","0","1.13","-0.76","-1.13","17","3","2.47","0.53","3.60","0.00","0.36"
"","Jonathan Lewis","COL","2020","W","801","27","10","5","3.08","-0.22","1.92","7","0","0.52","-0.52","3.60","3.56","1.46"
"","Jan Gregus","MIN","2020","DM","1745","35","8","1","1.45","-0.77","-0.45","26","5","2.14","2.86","3.59","0.59","1.02"
"","Gary Mackay-Steven","NYC","2020","W","1075","22","15","2","2.57","0.42","-0.57","9","1","1.00","0.00","3.57","1.38","1.96"
"","Tesho Akindele","ORL","2020","ST","922","12","6","3","2.49","0.48","0.51","11","0","1.07","-1.07","3.57","1.04","1.39"
"","Cole Bassett","COL","2020","AM","1062","22","9","5","2.49","1.19","2.51","11","5","1.08","3.92","3.56","2.64","1.64"
"","Ethan Zubak","LAG","2020","ST","853","19","7","2","2.94","0.18","-0.94","6","0","0.54","-0.54","3.49","1.02","1.85"
"","Ismael Tajouri-Shradi","NYC","2020","W","776","21","8","3","2.78","-0.56","0.22","12","1","0.70","0.30","3.49","2.16","1.68"
"","Lassi Lappalainen","MTL","2020","FB","748","13","11","4","2.42","1.39","1.58","7","0","1.06","-1.06","3.48","1.58","1.24"
"","Shea Salinas","SJE","2020","W","900","10","3","2","1.99","-0.68","0.01","13","2","1.48","0.52","3.47","2.25","1.02"
"","Ilsinho","PHI","2020","ST","760","10","4","3","1.34","0.19","1.66","11","3","2.08","0.92","3.43","2.32","0.46"
"","Douglas Martínez","RSL","2020","ST","917","20","8","2","2.61","-0.91","-0.61","8","0","0.79","-0.79","3.40","0.87","1.52"
"","Dominique Badji","NSH","2020","ST","788","18","5","1","2.81","-1.23","-1.81","7","1","0.58","0.42","3.38","0.52","1.78"
"","Valeri Qazaishvili","SJE","2020","W","866","28","14","3","3.02","1.07","-0.02","8","1","0.34","0.66","3.36","1.88","1.86"
"","Kellyn Acosta","COL","2020","DM","1246","27","11","2","2.71","-0.21","-0.71","8","1","0.61","0.39","3.32","1.66","1.80"
"","Jonathan Osorio","TOR","2020","DM","1533","18","6","1","2.30","-1.14","-1.30","15","2","1.01","0.99","3.31","0.64","1.44"
"","Eryk Williamson","POR","2020","DM","1543","16","5","3","1.94","0.34","1.06","12","4","1.36","2.64","3.30","1.30","1.00"
"","Luis Amarilla","MIN","2020","ST","455","16","5","2","3.02","-0.83","-1.02","3","1","0.24","0.76","3.26","1.62","1.62"
"","Gastón Giménez","CHI","2020","DM","1718","21","7","0","1.38","-0.47","-1.38","19","3","1.88","1.12","3.26","0.00","1.23"
"","Adam Jahn","ATL","2020","ST","1174","15","8","3","2.72","1.09","0.28","7","1","0.52","0.48","3.24","2.42","2.71"
"","Efrain Álvarez","LAG","2020","W","755","16","4","1","1.70","-0.30","-0.70","17","1","1.48","-0.48","3.18","0.60","1.01"
"","Alexandru Mitrita","NYC","2020","W","775","23","9","4","1.85","1.28","2.15","16","2","1.27","0.73","3.12","2.10","1.10"
"","Jon Gallagher","ATL","2020","W","1055","13","7","4","1.72","0.91","2.28","12","0","1.40","-1.40","3.12","2.37","1.08"
"","Edison Flores","DCU","2020","W","962","15","4","0","0.83","-0.21","-0.83","19","3","2.28","0.72","3.11","0.00","0.60"
"","Nick DeLeon","TOR","2020","W","1038","21","4","1","1.51","0.07","-0.51","10","2","1.59","0.41","3.10","0.02","0.82"
"","Alex Muyl","NYRB, NSH","2020","W","1236","17","5","0","1.94","-0.83","-1.94","10","2","1.16","0.84","3.10","0.00","1.09"
"","Danny Musovski","LAFC","2020","ST","724","20","15","5","2.79","1.60","2.21","4","0","0.28","-0.28","3.07","1.43","0.94"
"","Youness Mokhtar","CLB","2020","W","907","21","8","3","2.26","0.54","0.74","8","1","0.79","0.21","3.06","1.37","1.20"
"","Pity Martínez","ATL","2020","AM","653","17","7","2","1.00","0.66","1.00","14","1","2.05","-1.05","3.04","0.84","0.55"
"","Walker Zimmerman","NSH","2020","CB","2110","19","9","3","1.95","0.55","1.05","7","0","1.08","-1.08","3.02","2.34","1.48"
"","Bryan Reynolds","FCD","2020","FB","1399","4","1","0","0.17","-0.13","-0.17","15","3","2.83","0.17","3.00","0.00","0.08"
"","David Milinkovic","VAN","2020","W","974","8","3","1","1.26","-0.14","-0.26","11","4","1.74","2.26","3.00","0.91","0.90"
"","Abu Danladi","NSH","2020","ST","644","17","4","2","2.20","-0.35","-0.20","7","1","0.78","0.22","2.98","0.64","1.05"
"","Erick Torres","ATL","2020","ST","569","15","6","1","2.94","-0.87","-1.94","0","0","0.00","0.00","2.94","0.00","1.42"
"","Tommy McNamara","HOU, NER","2020","DM","1133","18","3","0","1.45","-0.43","-1.45","10","1","1.49","-0.49","2.94","0.00","1.39"
"","Reto Ziegler","FCD","2020","CB","1675","6","4","2","1.69","0.27","0.31","15","1","1.25","-0.25","2.94","0.87","0.76"
