,player,club,age,join_age,usd,Season,Goals Added,name,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
0,E. Segura,Los Angeles FC,24.0,22.0,2360000.0,2020.0,0.46,Eddie Segura,Eddie Segura,LAFC,D,22.0,21.0,1886.0,2.0,1.0,17.0,5.0,1.0,0/0,2.0,0.0,0.1,11.8
1,M. Traore,Los Angeles FC,18.0,18.0,118000.0,2020.0,-0.11,Mohamed Traore,Mohamed Traore,LAFC,D,1.0,1.0,45.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
2,D. Palacios,Los Angeles FC,21.0,20.0,1180000.0,2020.0,0.27,Diego Palacios,Diego Palacios,LAFC,D,16.0,15.0,1230.0,0.0,1.0,4.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
3,M. Farfán,Los Angeles FC,22.0,22.0,1180000.0,2020.0,-0.2,Marco Farfan,Marco Farfan,LAFC,D,14.0,9.0,854.0,0.0,0.0,3.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
4,J. Harvey,Los Angeles FC,37.0,33.0,295000.0,2020.0,-0.52,Jordan Harvey,Jordan Harvey,LAFC,D,11.0,8.0,757.0,0.0,1.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
5,T. Blackmon,Los Angeles FC,24.0,21.0,708000.0,2020.0,0.51,Tristan Blackmon,Tristan Blackmon,LAFC,D,14.0,11.0,977.0,0.0,0.0,4.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
6,E. Dueñas,Los Angeles FC,16.0,15.0,295000.0,2020.0,-0.09,Erik Duenas,Erik Dueñas,LAFC,D,2.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
7,E. Atuesta,Los Angeles FC,23.0,21.0,3540000.0,2020.0,1.02,Eduard Atuesta,Eduard Atuesta,LAFC,M,17.0,14.0,1326.0,1.0,2.0,32.0,4.0,0.0,1/1,0.0,1.0,0.07,3.1
8,F. Ginella,Los Angeles FC,22.0,20.0,3540000.0,2020.0,-0.44,Francisco Ginella,Francisco Ginella,LAFC,M,22.0,14.0,1159.0,1.0,4.0,10.0,5.0,1.0,0/0,1.0,0.0,0.08,10.0
9,J. Cifuentes,Los Angeles FC,21.0,20.0,3540000.0,2020.0,0.51,Jose Cifuentes,Jose Cifuentes,LAFC,M,18.0,13.0,1150.0,1.0,3.0,34.0,10.0,0.0,0/0,1.0,0.0,0.08,2.9
10,M. Kaye,Los Angeles FC,26.0,23.0,7080000.0,2020.0,1.06,Mark-Anthony Kaye,Mark-Anthony Kaye,LAFC,M,16.0,15.0,1095.0,3.0,4.0,13.0,4.0,0.0,0/0,3.0,0.0,0.25,23.1
11,B. Duke,Los Angeles FC,20.0,18.0,354000.0,2020.0,-0.69,Bryce Duke,Bryce Duke,LAFC,M,11.0,2.0,234.0,0.0,0.0,3.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
12,L. Blessing,Los Angeles FC,24.0,20.0,4720000.0,2020.0,0.41,Latif Blessing,Latif Blessing,LAFC,F,21.0,18.0,1720.0,1.0,4.0,15.0,6.0,0.0,0/0,0.0,1.0,0.05,6.7
13,D. Rossi,Los Angeles FC,23.0,19.0,23600000.0,2020.0,2.95,Diego Rossi,Diego Rossi,LAFC,F,19.0,19.0,1698.0,14.0,4.0,71.0,34.0,1.0,1/1,11.0,3.0,0.74,19.7
14,C. Torres,Los Angeles FC,16.0,16.0,413000.0,2020.0,0.15,Christian Torres,Christian Torres,LAFC,F,8.0,2.0,212.0,1.0,0.0,3.0,1.0,0.0,0/0,0.0,1.0,0.42,33.3
15,R. Edwards,Los Angeles FC,25.0,25.0,354000.0,2020.0,0.33,Raheem Edwards,Raheem Edwards,MIN,M,12.0,2.0,259.0,0.0,3.0,5.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
16,C. Vela,Los Angeles FC,32.0,28.0,17700000.0,2020.0,0.23,Carlos Vela,Carlos Vela,LAFC,F,7.0,4.0,422.0,4.0,1.0,22.0,10.0,1.0,0/0,4.0,0.0,0.85,18.2
17,C. Baird,Los Angeles FC,25.0,24.0,1180000.0,2020.0,-1.79,Corey Baird,Corey Baird,LAFC,F,21.0,17.0,1529.0,2.0,4.0,29.0,4.0,0.0,0/0,0.0,2.0,0.12,6.9
18,D. Musovski,Los Angeles FC,25.0,24.0,590000.0,2020.0,0.32,Danny Musovski,Danny Musovski,LAFC,F,15.0,6.0,629.0,5.0,1.0,20.0,15.0,1.0,0/0,5.0,0.0,0.72,25.0
19,K. Opoku,Los Angeles FC,19.0,19.0,177000.0,2020.0,0.17,Kwadwo Opoku,Kwadwo Opoku,LAFC,F,3.0,0.0,52.0,0.0,1.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
20,C. Makoun,Inter Miami CF,21.0,19.0,1180000.0,2020.0,-0.23,Christian Makoun,Christian Makoun,MIA,D,4.0,2.0,187.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
21,P. Seagrist,Inter Miami CF,23.0,22.0,206500.0,2020.0,0.49,Patrick Seagrist,Patrick Seagrist,MIA,D,3.0,3.0,246.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
22,D. Nealis,Inter Miami CF,22.0,21.0,531000.0,2020.0,-0.11,Dylan Nealis,Dylan Nealis,MIA,D,19.0,10.0,1104.0,0.0,0.0,10.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
23,V. Ulloa,Inter Miami CF,29.0,27.0,944000.0,2020.0,-0.65,Victor Ulloa,Victor Ulloa,MIA,M,23.0,17.0,1434.0,0.0,3.0,10.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
24,B. Matuidi,Inter Miami CF,33.0,33.0,5900000.0,2020.0,-0.73,Blaise Matuidi,Blaise Matuidi,MIA,M,15.0,14.0,1273.0,1.0,1.0,15.0,2.0,0.0,0/0,0.0,1.0,0.07,6.7
25,J. Chapman,Inter Miami CF,27.0,25.0,354000.0,2020.0,-0.03,Jay Chapman,Jay Chapman,MIA,M,8.0,2.0,200.0,0.0,0.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
26,L. Morgan,Inter Miami CF,24.0,23.0,3540000.0,2020.0,1.23,Lewis Morgan,Lewis Morgan,MIA,M,23.0,23.0,1952.0,5.0,8.0,56.0,18.0,2.0,1/1,5.0,0.0,0.23,8.9
27,B. Shea,Inter Miami CF,31.0,30.0,590000.0,2020.0,-0.5,Brek Shea,Brek Shea,MIA,D,13.0,6.0,628.0,4.0,0.0,13.0,6.0,1.0,0/0,1.0,3.0,0.57,30.8
28,R. Pizarro,Inter Miami CF,27.0,26.0,11800000.0,2020.0,1.78,Rodolfo Pizarro,Rodolfo Pizarro,MIA,M,19.0,17.0,1578.0,4.0,5.0,31.0,11.0,1.0,0/0,1.0,3.0,0.23,12.9
29,F. Higuaín,Inter Miami CF,36.0,35.0,354000.0,2020.0,0.12,Federico Higuain,Federico Higuain,MIA,F,14.0,0.0,175.0,2.0,0.0,6.0,4.0,0.0,0/0,1.0,1.0,1.03,33.3
30,M. Pellegrini,Inter Miami CF,20.0,19.0,8260000.0,2020.0,-1.01,Matias Pellegrini,Matias Pellegrini,MIA,M,19.0,12.0,965.0,1.0,4.0,16.0,5.0,0.0,0/0,0.0,1.0,0.09,6.3
31,G. Higuaín,Inter Miami CF,33.0,32.0,11800000.0,2020.0,-0.36,Gonzalo Higuain,Gonzalo Higuaín,MIA,F,9.0,9.0,802.0,1.0,2.0,35.0,12.0,1.0,0/1,0.0,1.0,0.11,2.9
32,J. Carranza,Inter Miami CF,20.0,19.0,5900000.0,2020.0,-0.85,Julian Carranza,Julian Carranza,MIA,F,16.0,5.0,542.0,2.0,0.0,12.0,4.0,0.0,0/0,2.0,0.0,0.33,16.7
33,R. Robinson,Inter Miami CF,22.0,21.0,295000.0,2020.0,-0.21,Robbie Robinson,Robbie Robinson,MIA,F,12.0,4.0,426.0,0.0,1.0,11.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
34,M. Robinson,Atlanta United FC,23.0,19.0,3540000.0,2020.0,0.43,Miles Robinson,Miles Robinson,ATL,D,17.0,16.0,1393.0,0.0,0.0,9.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
35,G. Campbell,Atlanta United FC,19.0,18.0,177000.0,2020.0,-0.06,George Campbell,George Campbell,ATL,D,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
36,G. Bello,Atlanta United FC,19.0,15.0,2360000.0,2020.0,-0.56,George Bello,George Bello,ATL,D,20.0,19.0,1648.0,1.0,1.0,8.0,2.0,0.0,0/0,0.0,1.0,0.05,12.5
37,M. Ambrose,Atlanta United FC,27.0,27.0,413000.0,2020.0,-0.21,Mikey Ambrose,Mikey Ambrose,ATL,D,6.0,3.0,302.0,1.0,0.0,1.0,1.0,0.0,0/0,1.0,0.0,0.3,100.0
38,B. Lennon,Atlanta United FC,23.0,22.0,1003000.0,2020.0,-0.29,Brooks Lennon,Brooks Lennon,ATL,D,23.0,19.0,1751.0,2.0,3.0,14.0,5.0,0.0,0/0,1.0,1.0,0.1,14.3
39,A. Walkes,Atlanta United FC,24.0,22.0,708000.0,2020.0,-0.51,Anton Walkes,Anton Walkes,ATL,D,17.0,15.0,1335.0,0.0,1.0,7.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
40,M. Moreno,Atlanta United FC,25.0,25.0,7080000.0,2020.0,-0.3,Marcelino Moreno,Marcelino Moreno,ATL,M,6.0,5.0,465.0,2.0,1.0,14.0,7.0,0.0,2/2,1.0,1.0,0.39,14.3
41,E. Hyndman,Atlanta United FC,24.0,23.0,1180000.0,2020.0,-0.65,Emerson Hyndman,Emerson Hyndman,ATL,M,20.0,16.0,1383.0,2.0,2.0,14.0,6.0,2.0,0/0,1.0,1.0,0.13,14.3
42,M. Rossetto,Atlanta United FC,24.0,23.0,855500.0,2020.0,-1.43,Matheus Rossetto,Matheus Rossetto,ATL,M,15.0,10.0,780.0,0.0,0.0,3.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
43,M. Adams,Atlanta United FC,24.0,22.0,531000.0,2020.0,-0.73,Mo Adams,Mo Adams,ATL,M,13.0,9.0,778.0,0.0,1.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
44,J. Mulraney,Atlanta United FC,24.0,23.0,590000.0,2020.0,-1.01,Jake Mulraney,Jake Mulraney,ATL,F,18.0,8.0,707.0,1.0,1.0,9.0,5.0,0.0,0/0,0.0,1.0,0.13,11.1
45,E. Barco,Atlanta United FC,21.0,18.0,11800000.0,2020.0,-0.27,Ezequiel Barco,Ezequiel Barco,ATL,M,15.0,11.0,1034.0,2.0,3.0,31.0,14.0,0.0,0/1,1.0,1.0,0.17,6.5
46,J. Damm,Atlanta United FC,28.0,27.0,2360000.0,2020.0,0.47,Jurgen Damm,Jurgen Damm,ATL,M,14.0,7.0,635.0,0.0,4.0,8.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
47,T. Wolff,Atlanta United FC,18.0,17.0,118000.0,2020.0,-0.25,Tyler Wolff,Tyler Wolff,ATL,M,5.0,1.0,118.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
48,J. Martínez,Atlanta United FC,27.0,23.0,16520000.0,2020.0,-0.35,Josef Martinez,Josef Martinez,ATL,F,1.0,1.0,69.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
49,É. Torres,Atlanta United FC,28.0,27.0,590000.0,2020.0,0.11,Erick Torres,Erick Torres,ATL,F,13.0,4.0,492.0,1.0,1.0,15.0,6.0,0.0,0/0,0.0,1.0,0.18,6.7
50,C. Mavinga,Toronto FC,29.0,25.0,1180000.0,2020.0,-0.31,Chris Mavinga,Chris Mavinga,TOR,D,19.0,17.0,1515.0,0.0,1.0,7.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
51,O. González,Toronto FC,32.0,30.0,944000.0,2020.0,-0.07,Omar Gonzalez,Omar Gonzalez,TOR,D,23.0,21.0,1871.0,0.0,0.0,11.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
52,E. Zavaleta,Toronto FC,28.0,22.0,560500.0,2020.0,-0.02,Eriq Zavaleta,Eriq Zavaleta,TOR,D,5.0,3.0,282.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
53,J. Morrow,Toronto FC,33.0,26.0,472000.0,2020.0,0.49,Justin Morrow,Justin Morrow,TOR,D,15.0,11.0,959.0,0.0,0.0,5.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
54,R. Laryea,Toronto FC,26.0,24.0,2360000.0,2020.0,0.61,Richie Laryea,Richie Laryea,TOR,M,20.0,15.0,1398.0,4.0,4.0,13.0,6.0,1.0,0/0,2.0,2.0,0.26,30.8
55,L. Fraser,Toronto FC,23.0,19.0,1180000.0,2020.0,0.03,Liam Fraser,Liam Fraser,TOR,M,13.0,4.0,436.0,0.0,0.0,3.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
56,N. Okello,Toronto FC,20.0,18.0,236000.0,2020.0,0.02,Noble Okello,Noble Okello,TOR,M,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
57,J. Osorio,Toronto FC,28.0,20.0,7080000.0,2020.0,0.63,Jonathan Osorio,Jonathan Osorio,TOR,M,17.0,17.0,1408.0,1.0,3.0,18.0,6.0,0.0,0/0,0.0,1.0,0.06,5.6
58,M. Bradley,Toronto FC,33.0,26.0,944000.0,2020.0,0.56,Michael Bradley,Michael Bradley,TOR,M,12.0,11.0,1060.0,0.0,1.0,7.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
59,A. Pozuelo,Toronto FC,29.0,27.0,14160000.0,2020.0,0.08,Alejandro Pozuelo,Alejandro Pozuelo,TOR,M,23.0,23.0,2015.0,9.0,10.0,52.0,25.0,5.0,5/5,4.0,5.0,0.4,17.3
60,J. Nelson,Toronto FC,18.0,17.0,1180000.0,2020.0,-0.54,Jayden Nelson,Jayden Nelson,TOR,F,7.0,1.0,141.0,0.0,0.0,3.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
61,J. Shaffelburg,Toronto FC,21.0,19.0,236000.0,2020.0,-0.13,Jacob Shaffelburg,Jacob Shaffelburg,TOR,M-F,4.0,1.0,125.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
62,E. Gallardo,Toronto FC,24.0,22.0,649000.0,2020.0,-0.12,Erickson Gallardo,Erickson Gallardo,TOR,F-M,5.0,2.0,162.0,0.0,0.0,4.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
63,T. Endoh,Toronto FC,27.0,25.0,649000.0,2020.0,-0.62,Tsubasa Endoh,Tsubasa Endoh,TOR,M,17.0,7.0,615.0,1.0,0.0,11.0,4.0,0.0,0/0,0.0,1.0,0.15,9.1
64,G. Dorsey,Toronto FC,22.0,19.0,236000.0,2020.0,-0.05,Griffin Dorsey,Griffin Dorsey,TOR,M,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
65,A. Akinola,Toronto FC,21.0,17.0,5900000.0,2020.0,1.46,Ayo Akinola,Ayo Akinola,TOR,F,15.0,11.0,1063.0,9.0,0.0,36.0,18.0,2.0,0/0,4.0,5.0,0.76,25.0
66,J. Altidore,Toronto FC,31.0,25.0,2360000.0,2020.0,0.48,Jozy Altidore,Jozy Altidore,TOR,F,13.0,10.0,746.0,2.0,1.0,28.0,14.0,1.0,0/0,1.0,1.0,0.24,7.1
67,P. Mullins,Toronto FC,29.0,27.0,413000.0,2020.0,-1.07,Patrick Mullins,Patrick Mullins,TOR,F,16.0,4.0,416.0,1.0,1.0,8.0,4.0,1.0,0/0,0.0,1.0,0.22,12.5
68,J. Mensah,Columbus Crew SC,30.0,26.0,1180000.0,2020.0,-0.29,Jonathan Mensah,Jonathan Mensah,CLB,D,23.0,23.0,2070.0,0.0,0.0,10.0,4.0,0.0,0/0,0.0,0.0,0.0,0.0
69,A. Keita,Columbus Crew SC,20.0,18.0,1180000.0,2020.0,-0.56,Aboubacar Keita,Aboubacar Keita,CLB,D,11.0,10.0,942.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
70,V. Wormgoor,Columbus Crew SC,32.0,31.0,826000.0,2020.0,-0.09,Vito Wormgoor,Vito Wormgoor,CLB,D,2.0,2.0,107.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
71,J. Williams,Columbus Crew SC,32.0,28.0,531000.0,2020.0,0.9,Josh Williams,Josh Williams,CLB,D,12.0,11.0,1021.0,0.0,1.0,4.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
72,M. Valenzuela,Columbus Crew SC,22.0,20.0,1180000.0,2020.0,0.25,Milton Valenzuela,Milton Valenzuela,CLB,D,19.0,17.0,1448.0,0.0,3.0,9.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
73,W. Francis,Columbus Crew SC,30.0,28.0,590000.0,2020.0,0.28,Waylon Francis,Waylon Francis,CLB,D,4.0,2.0,196.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
74,H. Afful,Columbus Crew SC,34.0,29.0,472000.0,2020.0,-0.54,Harrison Afful,Harrison Afful,CLB,D,21.0,20.0,1795.0,1.0,2.0,11.0,3.0,0.0,0/0,0.0,1.0,0.05,9.1
75,P. Kitchen,Columbus Crew SC,29.0,28.0,944000.0,2020.0,-1.64,Perry Kitchen,Perry Kitchen,CLB,M,21.0,19.0,1723.0,0.0,0.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
76,D. Nagbe,Columbus Crew SC,30.0,29.0,3540000.0,2020.0,-0.82,Darlington Nagbe,Darlington Nagbe,CLB,M,15.0,14.0,1199.0,1.0,1.0,5.0,3.0,0.0,0/0,1.0,0.0,0.08,20.0
77,A. Morris,Columbus Crew SC,19.0,18.0,708000.0,2020.0,-0.14,Aidan Morris,Aidan Morris,CLB,M,10.0,2.0,360.0,0.0,0.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
78,L. Díaz,Columbus Crew SC,22.0,20.0,944000.0,2020.0,0.81,Luis Diaz,Luis Diaz,CLB,M,21.0,14.0,1178.0,0.0,3.0,31.0,13.0,0.0,0/0,0.0,0.0,0.0,0.0
79,L. Zelarayán,Columbus Crew SC,28.0,27.0,11800000.0,2020.0,-1.96,Lucas Zelarayan,Lucas Zelarayan,CLB,M,16.0,12.0,1039.0,6.0,4.0,23.0,10.0,3.0,0/1,5.0,1.0,0.52,26.1
80,K. Molino,Columbus Crew SC,30.0,30.0,2360000.0,2020.0,1.57,Kevin Molino,Kevin Molino,CLB,M,18.0,15.0,1264.0,9.0,4.0,38.0,17.0,3.0,1/1,5.0,4.0,0.64,23.7
81,P. Santos,Columbus Crew SC,32.0,29.0,2360000.0,2020.0,-0.1,Pedro Santos,Pedro Santos,CLB,M,22.0,22.0,1841.0,6.0,8.0,44.0,16.0,4.0,1/1,4.0,2.0,0.29,13.6
82,M. Hairston,Columbus Crew SC,26.0,26.0,708000.0,2020.0,-0.13,Marlon Hairston,Marlon Hairston,CLB,M,9.0,4.0,405.0,0.0,0.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
83,G. Zardes,Columbus Crew SC,29.0,26.0,3540000.0,2020.0,0.86,Gyasi Zardes,Gyasi Zardes,CLB,F,21.0,20.0,1717.0,12.0,4.0,41.0,19.0,2.0,0/2,8.0,4.0,0.63,29.3
84,B. Dibassy,Minnesota United FC,31.0,31.0,2360000.0,2020.0,0.7,Bakaye Dibassy,Bakaye Dibassy,MIN,D,11.0,10.0,858.0,0.0,0.0,7.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
85,I. Opara,Minnesota United FC,32.0,29.0,1180000.0,2020.0,0.02,Ike Opara,Ike Opara,MIN,D,2.0,2.0,180.0,2.0,0.0,2.0,2.0,0.0,0/0,0.0,2.0,1.0,100.0
86,M. Boxall,Minnesota United FC,32.0,28.0,767000.0,2020.0,0.93,Michael Boxall,Michael Boxall,MIN,D,19.0,19.0,1710.0,0.0,0.0,8.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
87,B. Kallman,Minnesota United FC,30.0,26.0,354000.0,2020.0,-0.33,Brent Kallman,Brent Kallman,MIN,D,4.0,3.0,271.0,0.0,0.0,1.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
88,C. Gasper,Minnesota United FC,25.0,22.0,2360000.0,2020.0,-1.21,Chase Gasper,Chase Gasper,MIN,D,18.0,16.0,1491.0,1.0,1.0,17.0,6.0,1.0,0/0,1.0,0.0,0.06,5.9
89,J. Raitala,Minnesota United FC,32.0,32.0,590000.0,2020.0,0.28,Jukka Raitala,Jukka Raitala,MIN,D,15.0,15.0,1350.0,0.0,0.0,4.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
90,R. Métanire,Minnesota United FC,30.0,28.0,1180000.0,2020.0,0.86,Romain Metanire,Romain Metanire,MIN,D,20.0,20.0,1786.0,0.0,4.0,6.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
91,N. Billingsley,Minnesota United FC,23.0,22.0,118000.0,2020.0,-0.11,Noah Billingsley,Noah Billingsley,MIN,D,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
92,W. Trapp,Minnesota United FC,28.0,27.0,2360000.0,2020.0,-0.3,Wil Trapp,Wil Trapp,MIN,M,21.0,16.0,1368.0,0.0,0.0,5.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
93,J. Gregus,Minnesota United FC,30.0,27.0,3540000.0,2020.0,0.73,Jan Gregus,Jan Gregus,MIN,M,18.0,18.0,1599.0,1.0,6.0,35.0,8.0,0.0,0/0,0.0,1.0,0.06,2.9
94,H. Dotson,Minnesota United FC,23.0,21.0,2360000.0,2020.0,-1.33,Hassani Dotson,Hassani Dotson,MIN,M-D,18.0,12.0,1211.0,1.0,1.0,19.0,7.0,0.0,0/0,0.0,1.0,0.07,5.3
95,J. Hayes,Minnesota United FC,25.0,24.0,590000.0,2020.0,0.41,Jacori Hayes,Jacori Hayes,MIN,M,11.0,6.0,602.0,1.0,1.0,4.0,1.0,0.0,0/0,1.0,0.0,0.15,25.0
96,R. Lod,Minnesota United FC,27.0,26.0,3540000.0,2020.0,0.94,Robin Lod,Robin Lod,MIN,M,20.0,18.0,1585.0,7.0,5.0,40.0,13.0,0.0,0/0,4.0,3.0,0.4,17.5
97,E. Reynoso,Minnesota United FC,25.0,24.0,11800000.0,2020.0,0.6,Emanuel Reynoso,Emanuel Reynoso,MIN,M,13.0,9.0,826.0,1.0,7.0,22.0,7.0,0.0,0/0,1.0,0.0,0.11,4.5
98,T. Chacón,Minnesota United FC,20.0,18.0,1180000.0,2020.0,-0.3,Thomas Chacon,Thomas Chacon,MIN,M,4.0,1.0,172.0,0.0,0.0,1.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
99,E. Finlay,Minnesota United FC,30.0,27.0,1180000.0,2020.0,0.33,Ethan Finlay,Ethan Finlay,MIN,M,14.0,12.0,961.0,4.0,2.0,18.0,9.0,0.0,0/0,2.0,2.0,0.37,22.2
100,J. Agudelo,Minnesota United FC,28.0,28.0,1180000.0,2020.0,0.1,Juan Agudelo,Juan Agudelo,MIN,F,14.0,9.0,842.0,3.0,0.0,19.0,4.0,0.0,0/0,1.0,2.0,0.32,15.8
101,F. Langsdorf,Minnesota United FC,25.0,24.0,472000.0,2020.0,-0.03,Foster Langsdorf,Foster Langsdorf,MIN,M,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
102,X. Arreaga,Seattle Sounders FC,26.0,24.0,1180000.0,2020.0,-0.8,Xavier Arreaga,Xavier Arreaga,SEA,D,14.0,13.0,1147.0,0.0,2.0,3.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
103,N. Tolo,Seattle Sounders FC,23.0,19.0,1180000.0,2020.0,-0.21,Nouhou Tolo,Nouhou Tolo,SEA,D,22.0,16.0,1402.0,0.0,2.0,10.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
104,B. Smith,Seattle Sounders FC,26.0,26.0,944000.0,2020.0,0.08,Brad Smith,Brad Smith,SEA,D,5.0,1.0,148.0,0.0,0.0,2.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
105,J. Medranda,Seattle Sounders FC,27.0,26.0,708000.0,2020.0,0.1,Jimmy Medranda,Jimmy Medranda,SEA,D,3.0,0.0,20.0,0.0,0.0,1.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
106,K. Leerdam,Seattle Sounders FC,30.0,27.0,1180000.0,2020.0,0.95,Kelvin Leerdam,Kelvin Leerdam,SEA,D,21.0,19.0,1551.0,3.0,3.0,18.0,3.0,0.0,0/0,2.0,1.0,0.17,16.7
107,A. Roldán,Seattle Sounders FC,24.0,21.0,590000.0,2020.0,0.1,Alex Roldan,Alex Roldan,SEA,M,18.0,3.0,571.0,0.0,1.0,3.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
108,J. Delem,Seattle Sounders FC,27.0,23.0,944000.0,2020.0,-0.2,Jordy Delem,Jordy Delem,SEA,M,17.0,9.0,737.0,0.0,1.0,3.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
109,D. Leyva,Seattle Sounders FC,17.0,15.0,590000.0,2020.0,-0.07,Danny Leyva,Danny Leyva,SEA,M,2.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
